CISR_ci_high,CISR_ci_low,K,K_primary,budget,candidate_count,ci_high,ci_low,contrast,environment_id,estimate,figure_panel,mean_CISR,mean_CTI,mean_hf_cost,median_CISR,method,n_seeds,oracle_noncomparable,oracle_reference,seed_n
0.0,0.0,,8,8,8,,,,congestion_resource,,congestion_resource,0.0,0.07397021626843132,8.0,0.0,all_hf,30,True,True,
1.8169995077073805e-05,0.0,,8,0,8,,,,congestion_resource,,congestion_resource,6.070825303413259e-06,0.07396414544312792,0.0,0.0,proxy_only,30,False,,
1.8169995077073805e-05,0.0,,8,1,8,,,,congestion_resource,,congestion_resource,6.070825303413259e-06,0.07396414544312792,0.0,0.0,proxy_only,30,False,,
1.8169995077073805e-05,0.0,,8,16,8,,,,congestion_resource,,congestion_resource,6.070825303413259e-06,0.07396414544312792,0.0,0.0,proxy_only,30,False,,
1.8169995077073805e-05,0.0,,8,2,8,,,,congestion_resource,,congestion_resource,6.070825303413259e-06,0.07396414544312792,0.0,0.0,proxy_only,30,False,,
1.8169995077073805e-05,0.0,,8,4,8,,,,congestion_resource,,congestion_resource,6.070825303413259e-06,0.07396414544312792,0.0,0.0,proxy_only,30,False,,
1.8169995077073805e-05,0.0,,8,8,8,,,,congestion_resource,,congestion_resource,6.070825303413259e-06,0.07396414544312792,0.0,0.0,proxy_only,30,False,,
0.002881474256605354,0.0008103371049004031,,8,0,8,,,,congestion_resource,,congestion_resource,0.001774313324547642,0.07219590294388371,0.0,0.0,paired_lucb,30,False,,
0.0026721610302612372,0.0006574275908605025,,8,1,8,,,,congestion_resource,,congestion_resource,0.0015847011424709198,0.07238551512596042,1.0,0.0,paired_lucb,30,False,,
0.0008568576673543641,5.7720246551821544e-05,,8,2,8,,,,congestion_resource,,congestion_resource,0.0004088723037948087,0.07356134396463652,2.0,0.0,paired_lucb,30,False,,
0.00017316073965546465,0.0,,8,4,8,,,,congestion_resource,,congestion_resource,5.7720246551821544e-05,0.07391249602187953,4.0,0.0,paired_lucb,30,False,,
0.0,0.0,,8,16,8,,,,congestion_resource,,congestion_resource,0.0,0.07397021626843132,8.0,0.0,paired_lucb,30,False,,
0.0,0.0,,8,8,8,,,,congestion_resource,,congestion_resource,0.0,0.07397021626843132,8.0,0.0,paired_lucb,30,False,,
0.002912900085334268,0.0008079512112933277,,8,0,8,,,,congestion_resource,,congestion_resource,0.001774313324547642,0.07219590294388371,0.0,0.0,global_voi,30,False,,
0.0028570633071139844,0.000811018123227647,,8,1,8,,,,congestion_resource,,congestion_resource,0.001774313324547642,0.07219590294388371,1.0,0.0,global_voi,30,False,,
0.0028853239518142042,0.0008243726426479996,,8,2,8,,,,congestion_resource,,congestion_resource,0.001774313324547642,0.07219590294388371,2.0,0.0,global_voi,30,False,,
0.002945933074537854,0.0009487667259093785,,8,4,8,,,,congestion_resource,,congestion_resource,0.0018940746038218234,0.07207614166460953,4.0,0.0,global_voi,30,False,,
0.0,0.0,,8,16,8,,,,congestion_resource,,congestion_resource,0.0,0.07397021626843132,8.0,0.0,global_voi,30,False,,
0.0,0.0,,8,8,8,,,,congestion_resource,,congestion_resource,0.0,0.07397021626843132,8.0,0.0,global_voi,30,False,,
0.0028620100898785576,0.0008228293303863972,,8,0,8,,,,congestion_resource,,congestion_resource,0.001774313324547642,0.07219590294388371,0.0,0.0,pivot_voi,30,False,,
0.0036559485626222344,0.0010150701737236109,,8,1,8,,,,congestion_resource,,congestion_resource,0.0022423166811892602,0.07172789958724209,1.0,0.0,pivot_voi,30,False,,
0.0034160942253027094,0.001018407565995382,,8,2,8,,,,congestion_resource,,congestion_resource,0.0021140910606156195,0.07185612520781573,2.0,0.0,pivot_voi,30,False,,
0.002780942340459723,0.0009290568271100545,,8,4,8,,,,congestion_resource,,congestion_resource,0.0018050903772780958,0.07216512589115326,4.0,0.0,pivot_voi,30,False,,
0.0,0.0,,8,16,8,,,,congestion_resource,,congestion_resource,0.0,0.07397021626843132,8.0,0.0,pivot_voi,30,False,,
0.0,0.0,,8,8,8,,,,congestion_resource,,congestion_resource,0.0,0.07397021626843132,8.0,0.0,pivot_voi,30,False,,
,,4,,4,,0.003683277817404781,0.0017286364512818135,Proxy - PIVOT-VOI,performative_control,0.002628389292718187,forest,,,,,,,,,30
