cell_n,environment_id,global_rank,ide,ide_high,ide_low,irr,operator_shift,shift_x
6,congestion_resource,0.9318911786662961,0.0008503098382436769,0.0009633891121206864,0.0007372305643666676,0.0,0.0,0.0
6,congestion_resource,0.9318911786662961,0.0009663747579392777,0.001092609872820919,0.0008401396430576363,0.0,0.1,0.010000000000000002
6,congestion_resource,0.9318911786662961,0.0010843564573795774,0.0012229526127472687,0.0009457603020118864,0.0,0.2,0.04000000000000001
6,congestion_resource,0.9318911786662961,0.001265890581409231,0.0014249530445712266,0.0011068281182472356,0.0,0.35,0.12249999999999998
6,congestion_resource,0.9318911786662961,0.0014467601961498154,0.0016279634914516704,0.0012655569008479604,0.0,0.5,0.25
6,congestion_resource,0.9318911786662961,0.0016831755743472298,0.0019000006731632725,0.001466350475531187,0.0,0.7,0.49000000000000005
6,congestion_resource,0.9318911786662961,0.002040984855332365,0.0023222050907724134,0.0017597646198923168,0.0,1.0,1.0
6,congestion_resource,0.9318911786662961,0.0026359012023010934,0.003038819192848976,0.0022329832117532105,0.0,1.5,2.25
6,congestion_resource,0.9318911786662961,0.003230019137477773,0.0037580765728162623,0.0027019617021392835,0.0,2.0,4.0
6,congestion_resource,0.9318911786662961,0.005295107331657355,0.006388879444687454,0.0042013352186272565,0.0027548209366391185,3.0,9.0
6,performative_control,0.8817002031285264,0.03913706433747388,0.043910056188831946,0.03403555987802016,0.04677223561717233,0.0,0.0
6,performative_control,0.8817002031285264,0.04434845185254971,0.049957108827910435,0.038585823926138164,0.0586075112182707,0.1,0.010000000000000002
6,performative_control,0.8817002031285264,0.0496024453691416,0.05584200705682137,0.04303965792944058,0.07853459245864308,0.2,0.04000000000000001
6,performative_control,0.8817002031285264,0.05756448865473549,0.06487733808809898,0.04978170241435743,0.12966186122831694,0.35,0.12249999999999998
6,performative_control,0.8817002031285264,0.06562540704780971,0.07400080271567859,0.05719244491435691,0.20731322416449002,0.5,0.25
6,performative_control,0.8817002031285264,0.07653057860875655,0.0863396434101611,0.06600571520619399,0.2856422878574777,0.7,0.49000000000000005
6,performative_control,0.8817002031285264,0.09322960785532312,0.10607380146231349,0.08002879056942719,0.3650525751791575,1.0,1.0
6,performative_control,0.8817002031285264,0.12192343558989616,0.14056371947672103,0.10352429113648036,0.5300997086598352,1.5,2.25
6,performative_control,0.8817002031285264,0.1517260781434164,0.17796748329904852,0.12780065986137432,0.6672568816556158,2.0,4.0
6,performative_control,0.8817002031285264,0.218651296264427,0.26056387869953285,0.18064995052912836,0.788276907106021,3.0,9.0
