delta_proxy,delta_true,displayed,environment_id,reversal
-0.057740750178449984,-0.013130791572787542,True,performative_control,False
0.005800062030670627,-0.00033191680232544374,False,performative_control,True
0.05513552834800656,0.003042217171394107,False,performative_control,False
-0.016665424063056544,-0.001729969269155085,True,performative_control,False
0.03643165933708126,0.00281312551283433,False,performative_control,False
0.026464292530691325,0.0022026090291497324,False,performative_control,False
-0.054785214359078405,-0.010309194568875552,True,performative_control,False
-0.03585328806660881,-0.0073199781664889385,False,performative_control,False
0.06670079109155896,0.0034562896155380662,False,performative_control,False
0.018915305881037126,0.002413627658056028,True,performative_control,False
-0.08762157258199266,-0.02445592142320166,False,performative_control,False
0.04936527368505472,0.0034609824958248547,False,performative_control,False
0.07947529228936845,0.0019528020065529006,True,performative_control,False
0.03412050931658889,0.003934401992970182,False,performative_control,False
0.15339345340165367,-0.015798275179142007,False,performative_control,True
-0.1506445631842911,-0.05568701090096295,True,performative_control,False
0.004063690010629228,0.0004465475418376774,False,performative_control,False
0.08223878099108495,0.0007854206273362474,False,performative_control,False
-0.07973640240767227,-0.0223120208214089,True,performative_control,False
0.04631799497025496,0.0029814160494697484,False,performative_control,False
0.19435432097272998,-0.039731686179865916,False,performative_control,True
-0.1006810598627017,-0.029513435210966887,True,performative_control,False
0.040088452412955,0.0031895078449913905,False,performative_control,False
-0.1137557930920812,-0.03514389491447256,False,performative_control,False
0.06872936359022452,0.00244679604654377,True,performative_control,False
0.019095272380214412,0.0024517321090498367,False,performative_control,False
-0.13140058468279003,-0.04385661564882737,False,performative_control,False
0.004658402863835565,0.000366586399528801,True,performative_control,False
-0.06832784618061682,-0.01694318105171483,False,performative_control,False
-0.16007783818994648,-0.06022735798356771,False,performative_control,False
-0.1509968182800413,-0.05439782742246499,True,performative_control,False
0.057375931454032636,0.003136024212140459,False,performative_control,False
-0.09941175025888735,-0.02795292391107604,False,performative_control,False
0.039981067144764626,0.002715021957085506,True,performative_control,False
-0.06156072065717394,-0.014633754620436173,False,performative_control,False
0.03837106328157108,0.001438678038368807,False,performative_control,False
0.11599828715941912,-0.009549215277986134,True,performative_control,True
-0.12726049570075573,-0.03980147148826088,False,performative_control,False
0.015045714832610246,0.0018567152843744772,False,performative_control,False
0.008651325508547969,0.0019264147815307164,True,performative_control,False
-0.036482276708761474,-0.006832079214830422,False,performative_control,False
0.046581938222403585,0.0026529972036786476,False,performative_control,False
-0.07419456158603555,-0.019661898101677178,True,performative_control,False
0.01677689236378671,0.0016320243022768521,False,performative_control,False
0.1063305849817644,-0.004958403772823777,False,performative_control,True
-0.007997398606344241,-0.0017069339301203357,True,performative_control,False
-0.03502647188999525,-0.007387715179817622,False,performative_control,False
-0.012319638388229415,-0.000509559724895553,False,performative_control,False
-0.13934022335413201,-0.04490958152491856,True,performative_control,False
0.020228130815841128,0.002453175995197593,False,performative_control,False
-0.07960419648521494,-0.021345376825953194,False,performative_control,False
-0.04624091864272173,-0.009960936049545982,True,performative_control,False
-0.01549690559290462,-0.0038363692661315396,False,performative_control,False
0.0738132358311579,-0.0010560310353953661,False,performative_control,True
0.014500499018334834,0.0015740329965268363,True,performative_control,False
-0.09216843046351769,-0.0241426311234523,False,performative_control,False
0.056464172766070186,0.0036486706219499843,False,performative_control,False
0.06323784230175544,0.003106159224226024,True,performative_control,False
-0.03034882802229849,-0.006465326498116403,False,performative_control,False
0.05372744290544679,0.0032369597502588943,False,performative_control,False
