root,type,adaptation,cap,method,selected,hf_queries,hf_episode_cost,gain,isr,stop_reason,queried
96000,equilibrator,1,8192,pivot_kg,8,1,8192.0,1.360220314379937,0.0,budget_exhausted,[8]
96000,equilibrator,1,8192,pivot_kg_stop,8,1,8192.0,1.360220314379937,0.0,budget_exhausted,[8]
96000,equilibrator,1,8192,uniform_v2,8,1,8192.0,1.360220314379937,0.0,budget_exhausted,[4]
96000,equilibrator,1,8192,ivr_v2,8,1,8192.0,1.360220314379937,0.0,budget_exhausted,[8]
96000,equilibrator,1,8192,lucb_v2,8,1,8192.0,1.360220314379937,0.0,budget_exhausted,[8]
96000,equilibrator,1,,no_hf_v2,8,0,0.0,1.360220314379937,0.0,no_hf_method,[]
96000,equilibrator,1,,proxy_only,8,0,0.0,1.360220314379937,0.0,no_hf_method,[]
96000,equilibrator,1,8192,author_random_hf,7,1,8192.0,1.1826346953973446,0.1775856189825924,batch,[8]
96000,equilibrator,1,8192,author_paired_lucb,8,1,8192.0,1.360220314379937,0.0,batch,[8]
96000,equilibrator,1,8192,author_global_voi,8,1,8192.0,1.360220314379937,0.0,batch,[0]
96000,equilibrator,1,8192,author_pivot_voi,8,1,8192.0,1.360220314379937,0.0,batch,[0]
96000,equilibrator,1,16384,pivot_kg,8,2,16384.0,1.360220314379937,0.0,budget_exhausted,"[8, 0]"
96000,equilibrator,1,16384,pivot_kg_stop,8,2,16384.0,1.360220314379937,0.0,budget_exhausted,"[8, 7]"
96000,equilibrator,1,16384,uniform_v2,8,2,16384.0,1.360220314379937,0.0,budget_exhausted,"[4, 3]"
96000,equilibrator,1,16384,ivr_v2,8,2,16384.0,1.360220314379937,0.0,budget_exhausted,"[8, 7]"
96000,equilibrator,1,16384,lucb_v2,8,2,16384.0,1.360220314379937,0.0,budget_exhausted,"[8, 7]"
96000,equilibrator,1,16384,author_random_hf,7,2,16384.0,1.1826346953973446,0.1775856189825924,batch,"[8, 4]"
96000,equilibrator,1,16384,author_paired_lucb,8,2,16384.0,1.360220314379937,0.0,batch,"[8, 7]"
96000,equilibrator,1,16384,author_global_voi,8,2,16384.0,1.360220314379937,0.0,batch,"[0, 1]"
96000,equilibrator,1,16384,author_pivot_voi,8,2,16384.0,1.360220314379937,0.0,batch,"[0, 1]"
96000,equilibrator,1,32768,pivot_kg,8,4,32768.0,1.360220314379937,0.0,budget_exhausted,"[8, 0, 3, 2]"
96000,equilibrator,1,32768,pivot_kg_stop,8,4,32768.0,1.360220314379937,0.0,budget_exhausted,"[8, 7, 5, 3]"
96000,equilibrator,1,32768,uniform_v2,8,4,32768.0,1.360220314379937,0.0,budget_exhausted,"[4, 3, 6, 5]"
96000,equilibrator,1,32768,ivr_v2,8,4,32768.0,1.360220314379937,0.0,budget_exhausted,"[8, 7, 6, 5]"
96000,equilibrator,1,32768,lucb_v2,8,4,32768.0,1.360220314379937,0.0,budget_exhausted,"[8, 7, 6, 5]"
96000,equilibrator,1,32768,author_random_hf,8,4,32768.0,1.360220314379937,0.0,batch,"[8, 4, 5, 7]"
96000,equilibrator,1,32768,author_paired_lucb,8,4,32768.0,1.360220314379937,0.0,batch,"[8, 7, 6, 5]"
96000,equilibrator,1,32768,author_global_voi,8,4,32768.0,1.360220314379937,0.0,batch,"[0, 1, 2, 3]"
96000,equilibrator,1,32768,author_pivot_voi,8,4,32768.0,1.360220314379937,0.0,batch,"[0, 1, 2, 3]"
96000,equilibrator,1,,all_hf_reference,8,9,73728.0,1.360220314379937,0.0,all,"[0, 1, 2, 3, 4, 5, 6, 7, 8]"
96000,equilibrator,8,8192,pivot_kg,0,1,8192.0,0.0,0.11654386015539964,budget_exhausted,[8]
96000,equilibrator,8,8192,pivot_kg_stop,0,1,8192.0,0.0,0.11654386015539964,budget_exhausted,[8]
96000,equilibrator,8,8192,uniform_v2,0,1,8192.0,0.0,0.11654386015539964,budget_exhausted,[4]
96000,equilibrator,8,8192,ivr_v2,0,1,8192.0,0.0,0.11654386015539964,budget_exhausted,[8]
96000,equilibrator,8,8192,lucb_v2,0,1,8192.0,0.0,0.11654386015539964,budget_exhausted,[8]
96000,equilibrator,8,,no_hf_v2,0,0,0.0,0.0,0.11654386015539964,no_hf_method,[]
96000,equilibrator,8,,proxy_only,8,0,0.0,0.11654386015539964,0.0,no_hf_method,[]
96000,equilibrator,8,8192,author_random_hf,7,1,8192.0,0.11459235711286392,0.0019515030425357183,batch,[8]
96000,equilibrator,8,8192,author_paired_lucb,3,1,8192.0,0.06848759245902208,0.04805626769637755,batch,[4]
96000,equilibrator,8,8192,author_global_voi,4,1,8192.0,0.08519763560933286,0.03134622454606678,batch,[0]
96000,equilibrator,8,8192,author_pivot_voi,4,1,8192.0,0.08519763560933286,0.03134622454606678,batch,[0]
96000,equilibrator,8,16384,pivot_kg,7,2,16384.0,0.11459235711286392,0.0019515030425357183,budget_exhausted,"[8, 7]"
96000,equilibrator,8,16384,pivot_kg_stop,7,2,16384.0,0.11459235711286392,0.0019515030425357183,budget_exhausted,"[8, 7]"
96000,equilibrator,8,16384,uniform_v2,0,2,16384.0,0.0,0.11654386015539964,budget_exhausted,"[4, 3]"
96000,equilibrator,8,16384,ivr_v2,7,2,16384.0,0.11459235711286392,0.0019515030425357183,budget_exhausted,"[8, 7]"
96000,equilibrator,8,16384,lucb_v2,7,2,16384.0,0.11459235711286392,0.0019515030425357183,budget_exhausted,"[8, 7]"
96000,equilibrator,8,16384,author_random_hf,7,2,16384.0,0.11459235711286392,0.0019515030425357183,batch,"[8, 4]"
96000,equilibrator,8,16384,author_paired_lucb,5,2,16384.0,0.0986111075887528,0.017932752566646837,batch,"[4, 3]"
96000,equilibrator,8,16384,author_global_voi,4,2,16384.0,0.08519763560933286,0.03134622454606678,batch,"[0, 1]"
96000,equilibrator,8,16384,author_pivot_voi,4,2,16384.0,0.08519763560933286,0.03134622454606678,batch,"[0, 1]"
96000,equilibrator,8,32768,pivot_kg,7,4,32768.0,0.11459235711286392,0.0019515030425357183,budget_exhausted,"[8, 7, 6, 5]"
96000,equilibrator,8,32768,pivot_kg_stop,7,4,32768.0,0.11459235711286392,0.0019515030425357183,budget_exhausted,"[8, 7, 6, 5]"
96000,equilibrator,8,32768,uniform_v2,3,4,32768.0,0.06848759245902208,0.04805626769637755,budget_exhausted,"[4, 3, 6, 5]"
96000,equilibrator,8,32768,ivr_v2,7,4,32768.0,0.11459235711286392,0.0019515030425357183,budget_exhausted,"[8, 7, 6, 5]"
96000,equilibrator,8,32768,lucb_v2,7,4,32768.0,0.11459235711286392,0.0019515030425357183,budget_exhausted,"[8, 7, 6, 5]"
96000,equilibrator,8,32768,author_random_hf,6,4,32768.0,0.10850284157088042,0.008041018584519222,batch,"[8, 4, 5, 7]"
96000,equilibrator,8,32768,author_paired_lucb,2,4,32768.0,0.04865083134777137,0.06789302880762826,batch,"[4, 3, 5, 2]"
96000,equilibrator,8,32768,author_global_voi,4,4,32768.0,0.08519763560933286,0.03134622454606678,batch,"[0, 1, 2, 3]"
96000,equilibrator,8,32768,author_pivot_voi,4,4,32768.0,0.08519763560933286,0.03134622454606678,batch,"[0, 1, 2, 3]"
96000,equilibrator,8,,all_hf_reference,7,9,73728.0,0.11459235711286392,0.0019515030425357183,all,"[0, 1, 2, 3, 4, 5, 6, 7, 8]"
96001,exploiter,1,8192,pivot_kg,8,1,8192.0,0.7073675209334106,0.0,budget_exhausted,[8]
96001,exploiter,1,8192,pivot_kg_stop,8,1,8192.0,0.7073675209334106,0.0,budget_exhausted,[8]
96001,exploiter,1,8192,uniform_v2,8,1,8192.0,0.7073675209334106,0.0,budget_exhausted,[8]
96001,exploiter,1,8192,ivr_v2,8,1,8192.0,0.7073675209334106,0.0,budget_exhausted,[8]
96001,exploiter,1,8192,lucb_v2,8,1,8192.0,0.7073675209334106,0.0,budget_exhausted,[8]
96001,exploiter,1,,no_hf_v2,8,0,0.0,0.7073675209334106,0.0,no_hf_method,[]
96001,exploiter,1,,proxy_only,8,0,0.0,0.7073675209334106,0.0,no_hf_method,[]
96001,exploiter,1,8192,author_random_hf,8,1,8192.0,0.7073675209334106,0.0,batch,[1]
96001,exploiter,1,8192,author_paired_lucb,8,1,8192.0,0.7073675209334106,0.0,batch,[8]
96001,exploiter,1,8192,author_global_voi,8,1,8192.0,0.7073675209334106,0.0,batch,[0]
96001,exploiter,1,8192,author_pivot_voi,8,1,8192.0,0.7073675209334106,0.0,batch,[0]
96001,exploiter,1,16384,pivot_kg,8,2,16384.0,0.7073675209334106,0.0,budget_exhausted,"[8, 3]"
96001,exploiter,1,16384,pivot_kg_stop,8,2,16384.0,0.7073675209334106,0.0,budget_exhausted,"[8, 1]"
96001,exploiter,1,16384,uniform_v2,8,2,16384.0,0.7073675209334106,0.0,budget_exhausted,"[8, 3]"
96001,exploiter,1,16384,ivr_v2,8,2,16384.0,0.7073675209334106,0.0,budget_exhausted,"[8, 7]"
96001,exploiter,1,16384,lucb_v2,8,2,16384.0,0.7073675209334106,0.0,budget_exhausted,"[8, 7]"
96001,exploiter,1,16384,author_random_hf,8,2,16384.0,0.7073675209334106,0.0,batch,"[1, 4]"
96001,exploiter,1,16384,author_paired_lucb,8,2,16384.0,0.7073675209334106,0.0,batch,"[8, 7]"
96001,exploiter,1,16384,author_global_voi,8,2,16384.0,0.7073675209334106,0.0,batch,"[0, 1]"
96001,exploiter,1,16384,author_pivot_voi,8,2,16384.0,0.7073675209334106,0.0,batch,"[0, 1]"
96001,exploiter,1,32768,pivot_kg,8,4,32768.0,0.7073675209334106,0.0,budget_exhausted,"[8, 3, 6, 0]"
96001,exploiter,1,32768,pivot_kg_stop,8,4,32768.0,0.7073675209334106,0.0,budget_exhausted,"[8, 1, 3, 0]"
96001,exploiter,1,32768,uniform_v2,8,4,32768.0,0.7073675209334106,0.0,budget_exhausted,"[8, 3, 0, 2]"
96001,exploiter,1,32768,ivr_v2,8,4,32768.0,0.7073675209334106,0.0,budget_exhausted,"[8, 7, 6, 5]"
96001,exploiter,1,32768,lucb_v2,8,4,32768.0,0.7073675209334106,0.0,budget_exhausted,"[8, 7, 6, 5]"
96001,exploiter,1,32768,author_random_hf,8,4,32768.0,0.7073675209334106,0.0,batch,"[1, 4, 6, 7]"
96001,exploiter,1,32768,author_paired_lucb,8,4,32768.0,0.7073675209334106,0.0,batch,"[8, 7, 6, 5]"
96001,exploiter,1,32768,author_global_voi,8,4,32768.0,0.7073675209334106,0.0,batch,"[0, 1, 2, 3]"
96001,exploiter,1,32768,author_pivot_voi,8,4,32768.0,0.7073675209334106,0.0,batch,"[0, 1, 2, 3]"
96001,exploiter,1,,all_hf_reference,8,9,73728.0,0.7073675209334106,0.0,all,"[0, 1, 2, 3, 4, 5, 6, 7, 8]"
96001,exploiter,8,8192,pivot_kg,0,1,8192.0,0.0,0.0,budget_exhausted,[8]
96001,exploiter,8,8192,pivot_kg_stop,0,1,8192.0,0.0,0.0,budget_exhausted,[8]
96001,exploiter,8,8192,uniform_v2,0,1,8192.0,0.0,0.0,budget_exhausted,[8]
96001,exploiter,8,8192,ivr_v2,0,1,8192.0,0.0,0.0,budget_exhausted,[8]
96001,exploiter,8,8192,lucb_v2,0,1,8192.0,0.0,0.0,budget_exhausted,[8]
96001,exploiter,8,,no_hf_v2,0,0,0.0,0.0,0.0,no_hf_method,[]
96001,exploiter,8,,proxy_only,8,0,0.0,-1.3784360593031537,1.3784360593031537,no_hf_method,[]
96001,exploiter,8,8192,author_random_hf,8,1,8192.0,-1.3784360593031537,1.3784360593031537,batch,[1]
96001,exploiter,8,8192,author_paired_lucb,3,1,8192.0,-0.34998856402301226,0.34998856402301226,batch,[4]
96001,exploiter,8,8192,author_global_voi,4,1,8192.0,-0.4933781370258354,0.4933781370258354,batch,[0]
96001,exploiter,8,8192,author_pivot_voi,4,1,8192.0,-0.4933781370258354,0.4933781370258354,batch,[0]
96001,exploiter,8,16384,pivot_kg,0,2,16384.0,0.0,0.0,budget_exhausted,"[8, 7]"
96001,exploiter,8,16384,pivot_kg_stop,0,2,16384.0,0.0,0.0,budget_exhausted,"[8, 7]"
96001,exploiter,8,16384,uniform_v2,0,2,16384.0,0.0,0.0,budget_exhausted,"[8, 3]"
96001,exploiter,8,16384,ivr_v2,0,2,16384.0,0.0,0.0,budget_exhausted,"[8, 7]"
96001,exploiter,8,16384,lucb_v2,0,2,16384.0,0.0,0.0,budget_exhausted,"[8, 7]"
96001,exploiter,8,16384,author_random_hf,8,2,16384.0,-1.3784360593031537,1.3784360593031537,batch,"[1, 4]"
96001,exploiter,8,16384,author_paired_lucb,2,2,16384.0,-0.2209689241773991,0.2209689241773991,batch,"[4, 3]"
96001,exploiter,8,16384,author_global_voi,4,2,16384.0,-0.4933781370258354,0.4933781370258354,batch,"[0, 1]"
96001,exploiter,8,16384,author_pivot_voi,4,2,16384.0,-0.4933781370258354,0.4933781370258354,batch,"[0, 1]"
