root,adaptation,budget_queries,method,selected_idx,hf_queries,hf_episode_cost,hf_native_environment_steps,hf_native_agent_steps,hf_native_episode_compute_seconds,selected_audit_gain,empirical_oracle_regret,queries,selected_distribution,allocation_mc_se_gain
327,4,2,uniform_v2_expected_100,,2,40,11965.48,81235.43,138.22726931922602,-4.888191658595477,35.37842059601041,,"[4, 3, 4, 4, 3, 4, 4, 3, 4, 4, 3, 4, 4, 4, 4, 3, 3, 4, 3, 4, 4, 4, 4, 4, 4, 4, 3, 3, 3, 4, 3, 3, 3, 4, 3, 4, 4, 4, 3, 3, 3, 3, 4, 4, 4, 3, 4, 4, 4, 4, 3, 4, 4, 4, 3, 4, 3, 4, 4, 4, 3, 4, 3, 4, 3, 3, 4, 3, 3, 4, 4, 4, 4, 4, 4, 3, 4, 3, 4, 3, 3, 4, 3, 4, 3, 3, 4, 3, 4, 4, 4, 4, 3, 3, 4, 4, 4, 4, 4, 4]",2.2233681460403685
327,4,4,pivot_kg,3,4,72,21533.0,146059.0,248.94871470908402,23.3692619333015,7.120967004113428,"[4, 5, 1, 6]",,
327,4,4,uniform_v2,3,4,72,21533.0,146794.0,250.00208822410787,23.3692619333015,7.120967004113428,"[3, 5, 4, 1]",,
327,4,4,ivr_v2,3,4,72,21533.0,146059.0,248.94871470908402,23.3692619333015,7.120967004113428,"[5, 4, 1, 6]",,
327,4,4,lucb_v2,3,4,72,21533.0,146794.0,250.00208822410787,23.3692619333015,7.120967004113428,"[5, 4, 3, 1]",,
327,4,4,no_hf_v2,4,0,0,0.0,0.0,0.0,-22.207276118145238,52.69750505556017,[],,
327,4,4,proxy_only,3,0,0,0.0,0.0,0.0,23.3692619333015,7.120967004113428,[],,
327,4,4,global_voi_heuristic,3,4,72,21533.0,146220.0,249.44064026494743,23.3692619333015,7.120967004113428,"[5, 4, 2, 1]",,
327,4,4,uniform_v2_expected_100,,4,72,21548.68,147254.88,250.6861387075152,7.417473615295141,23.07275532211979,,"[3, 3, 3, 4, 3, 4, 4, 3, 4, 4, 3, 3, 3, 3, 3, 3, 3, 3, 3, 4, 4, 4, 3, 4, 3, 3, 3, 3, 3, 3, 3, 3, 3, 4, 3, 4, 4, 3, 3, 3, 3, 3, 4, 4, 4, 3, 3, 4, 3, 4, 3, 4, 4, 4, 3, 4, 3, 3, 3, 4, 3, 3, 3, 4, 3, 3, 4, 3, 3, 3, 3, 3, 4, 4, 3, 3, 4, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 4, 4, 4, 4, 3, 3, 4, 4, 4, 3, 3, 4]",2.1848138323522996
327,4,1,author_PIVOT_VOI_E5C,4,1,24,7189.0,49226.0,83.2320267521427,-22.207276118145238,52.69750505556017,[3],,
327,4,1,author_GlobalVOI_E5C,4,1,24,7189.0,47344.0,80.40091534605017,-22.207276118145238,52.69750505556017,[5],,
327,4,1,author_Uniform_E5C,3,1,24,7189.0,48543.0,82.59067339613102,23.3692619333015,7.120967004113428,[4],,
327,4,1,author_LUCB_E5C,3,1,24,7189.0,48543.0,82.59067339613102,23.3692619333015,7.120967004113428,[4],,
327,4,2,author_PIVOT_VOI_E5C,2,2,40,11989.0,82405.0,139.91506572416984,30.49022893741493,0.0,"[3, 4]",,
327,4,2,author_GlobalVOI_E5C,3,2,40,11989.0,80523.0,137.0839543180773,23.3692619333015,7.120967004113428,"[5, 4]",,
327,4,2,author_Uniform_E5C,3,2,40,11933.0,80952.0,138.18441497412277,23.3692619333015,7.120967004113428,"[4, 1]",,
327,4,2,author_LUCB_E5C,2,2,40,11989.0,82405.0,139.91506572416984,30.49022893741493,0.0,"[4, 3]",,
327,4,4,author_PIVOT_VOI_E5C,2,4,72,21533.0,146794.0,250.00208822410787,30.49022893741493,0.0,"[3, 4, 1, 5]",,
327,4,4,author_GlobalVOI_E5C,2,4,72,21589.0,147673.0,251.1712910149945,30.49022893741493,0.0,"[5, 4, 3, 2]",,
327,4,4,author_Uniform_E5C,2,4,72,21533.0,148102.0,252.27175167103997,30.49022893741493,0.0,"[4, 1, 3, 2]",,
327,4,4,author_LUCB_E5C,2,4,72,21589.0,147673.0,251.1712910149945,30.49022893741493,0.0,"[4, 3, 2, 5]",,
327,12,1,pivot_kg,3,1,56,16761.0,106836.0,182.17805951775517,19.39777237657838,0.0,[4],,
327,12,1,uniform_v2,3,1,56,16789.0,107222.0,182.5518520322512,19.39777237657838,0.0,[3],,
327,12,1,ivr_v2,4,1,56,16789.0,106215.0,180.91195216594497,11.123239455024283,8.274532921554098,[5],,
327,12,1,lucb_v2,4,1,56,16789.0,106215.0,180.91195216594497,11.123239455024283,8.274532921554098,[5],,
327,12,1,no_hf_v2,4,0,0,0.0,0.0,0.0,11.123239455024283,8.274532921554098,[],,
327,12,1,proxy_only,3,0,0,0.0,0.0,0.0,19.39777237657838,0.0,[],,
327,12,1,global_voi_heuristic,4,1,56,16789.0,106215.0,180.91195216594497,11.123239455024283,8.274532921554098,[5],,
327,12,1,uniform_v2_expected_100,,1,56,16769.68,106786.33,181.9732638712565,15.260505915801332,4.137266460777049,,"[4, 3, 4, 4, 3, 3, 4, 3, 4, 4, 3, 3, 4, 3, 4, 4, 3, 4, 3, 4, 4, 4, 3, 4, 3, 4, 4, 3, 4, 4, 3, 4, 3, 4, 4, 4, 4, 3, 3, 3, 3, 3, 4, 3, 3, 3, 3, 3, 3, 4, 4, 4, 4, 3, 3, 4, 3, 4, 4, 4, 3, 4, 3, 4, 4, 3, 4, 4, 3, 3, 4, 4, 3, 3, 4, 3, 3, 3, 3, 4, 3, 3, 4, 3, 4, 3, 3, 3, 4, 4, 4, 3, 3, 3, 4, 3, 3, 4, 4, 4]",0.4158109244884578
327,12,2,pivot_kg,3,2,88,26361.0,166596.0,284.2004589936696,19.39777237657838,0.0,"[4, 5]",,
327,12,2,uniform_v2,4,2,88,26389.0,166982.0,284.5742515081656,11.123239455024283,8.274532921554098,"[3, 5]",,
327,12,2,ivr_v2,3,2,88,26361.0,166596.0,284.2004589936696,19.39777237657838,0.0,"[5, 4]",,
327,12,2,lucb_v2,3,2,88,26361.0,166596.0,284.2004589936696,19.39777237657838,0.0,"[5, 4]",,
