causal_impact_identified,ci_high,ci_low,effect,n,participation_rate
False,0.0,0.0,0.0,21,0.0
False,-2.0616563088366863e-08,-3.326555047434396e-08,-2.6690173680459e-08,21,0.001
False,-1.0271362360609089e-07,-1.6635905267212447e-07,-1.3345086839953802e-07,21,0.005
False,-2.0606487121885721e-07,-3.354009639930593e-07,-2.6690173679938585e-07,21,0.01
False,-1.036890787158461e-06,-1.6759740838929362e-06,-1.3345086839946368e-06,21,0.05
