IRR,ISC,ISR,chi_square_shift,environment_id,global_global_transition_ide,global_n,global_policy_mae,global_policy_pearson,global_policy_rmse,global_policy_spearman,if_ci_high,if_ci_low,improvement_fidelity,independent_seed_n,operator_family,operator_shift,response_strength,transition_n
0.0,1.0,,0.0,congestion_resource,0.0006362534074390004,240,0.0032069091897929,0.9826702227958182,0.005466573904537095,0.9318911786662961,0.0008973948496213577,0.0003888468817538595,0.0006362534074390004,30,evolutionary_population,0.0,0.3,240
0.0,1.0,,0.01005016708416806,congestion_resource,0.0006362534074390004,240,0.0032069091897929,0.9826702227958182,0.005466573904537095,0.9318911786662961,0.0010080943159103573,0.0004383355209562876,0.0007235593010836529,30,evolutionary_population,0.1,0.3,240
0.0,1.0,,0.04081077419238824,congestion_resource,0.0006362534074390004,240,0.0032069091897929,0.9826702227958182,0.005466573904537095,0.9318911786662961,0.0011314374542074144,0.0005072147970769874,0.0008135003955355389,30,evolutionary_population,0.2,0.3,240
0.0,1.0,,0.13031912007401103,congestion_resource,0.0006362534074390004,240,0.0032069091897929,0.9826702227958182,0.005466573904537095,0.9318911786662961,0.0013130701009369423,0.0005906749653882762,0.000950080451718485,30,evolutionary_population,0.35,0.3,240
0.0,1.0,,0.2840254166877415,congestion_resource,0.0006362534074390004,240,0.0032069091897929,0.9826702227958182,0.005466573904537095,0.9318911786662961,0.0014964036543879723,0.0006779524027370295,0.0010884733394312708,30,evolutionary_population,0.5,0.3,240
0.0,1.0,,0.6323162199553789,congestion_resource,0.0006362534074390004,240,0.0032069091897929,0.9826702227958182,0.005466573904537095,0.9318911786662961,0.0017392017330325428,0.000806236218000689,0.0012713458968951585,30,evolutionary_population,0.7,0.3,240
0.0,1.0,,1.718281828459045,congestion_resource,0.0006362534074390004,240,0.0032069091897929,0.9826702227958182,0.005466573904537095,0.9318911786662961,0.0020908276145714744,0.0009993412404458747,0.0015393772201919803,30,evolutionary_population,1.0,0.3,240
0.0,1.0,,8.487735836358526,congestion_resource,0.0006362534074390004,240,0.0032069091897929,0.9826702227958182,0.005466573904537095,0.9318911786662961,0.0026788661708760787,0.001323352400458221,0.001990847661425894,30,evolutionary_population,1.5,0.3,240
0.0,1.0,,53.598150033144236,congestion_resource,0.0006362534074390004,240,0.0032069091897929,0.9826702227958182,0.005466573904537095,0.9318911786662961,0.0032482719227026223,0.0016380349769169128,0.0024469695846929254,30,evolutionary_population,2.0,0.3,240
0.0,1.0,,8102.083927575384,congestion_resource,0.0006362534074390004,240,0.0032069091897929,0.9826702227958182,0.005466573904537095,0.9318911786662961,0.004378769952558986,0.0023277312254369885,0.0033553931688260845,30,evolutionary_population,3.0,0.3,240
0.0,1.0,,0.0,congestion_resource,0.0006362534074390004,240,0.0032069091897929,0.9826702227958182,0.005466573904537095,0.9318911786662961,0.001299120357906286,0.0005841693675346109,0.0009391848782220019,30,gradient_informed,0.0,0.3,240
0.0,1.0,,0.01005016708416806,congestion_resource,0.0006362534074390004,240,0.0032069091897929,0.9826702227958182,0.005466573904537095,0.9318911786662961,0.0014795734123509347,0.0006829000410230575,0.0010733003270056028,30,gradient_informed,0.1,0.3,240
0.0,1.0,,0.04081077419238824,congestion_resource,0.0006362534074390004,240,0.0032069091897929,0.9826702227958182,0.005466573904537095,0.9318911786662961,0.0016566821664567787,0.0007701868371702044,0.0012102801149645815,30,gradient_informed,0.2,0.3,240
0.0,1.0,,0.13031912007401103,congestion_resource,0.0006362534074390004,240,0.0032069091897929,0.9826702227958182,0.005466573904537095,0.9318911786662961,0.0019281733778800992,0.0009009147970280071,0.0014203234513047369,30,gradient_informed,0.35,0.3,240
0.0,1.0,,0.2840254166877415,congestion_resource,0.0006362534074390004,240,0.0032069091897929,0.9826702227958182,0.005466573904537095,0.9318911786662961,0.0022072692832269957,0.0010642231117586325,0.001632083225336836,30,gradient_informed,0.5,0.3,240
0.0,1.0,,0.6323162199553789,congestion_resource,0.0006362534074390004,240,0.0032069091897929,0.9826702227958182,0.005466573904537095,0.9318911786662961,0.002585158445766637,0.001255410061767794,0.0019218211933432871,30,gradient_informed,0.7,0.3,240
0.0,1.0,,1.718281828459045,congestion_resource,0.0006362534074390004,240,0.0032069091897929,0.9826702227958182,0.005466573904537095,0.9318911786662961,0.0031776791779308277,0.0016129351849321102,0.0023830379265121254,30,gradient_informed,1.0,0.3,240
0.0,1.0,,8.487735836358526,congestion_resource,0.0006362534074390004,240,0.0032069091897929,0.9826702227958182,0.005466573904537095,0.9318911786662961,0.004177187807290398,0.002213643026719798,0.003199601633069542,30,gradient_informed,1.5,0.3,240
0.0,1.0,,53.598150033144236,congestion_resource,0.0006362534074390004,240,0.0032069091897929,0.9826702227958182,0.005466573904537095,0.9318911786662961,0.005205832282035196,0.00282354651299829,0.004031141890708394,30,gradient_informed,2.0,0.3,240
0.0,1.0,,8102.083927575384,congestion_resource,0.0006362534074390004,240,0.0032069091897929,0.9826702227958182,0.005466573904537095,0.9318911786662961,0.007535517575791727,0.004180196837871588,0.005893219318229603,30,gradient_informed,3.0,0.3,240
0.0,1.0,,0.0,congestion_resource,0.0006362534074390004,240,0.0032069091897929,0.9826702227958182,0.005466573904537095,0.9318911786662961,0.001389823420742093,0.0005819778890097387,0.0009754912290700286,30,local_random,0.0,0.3,240
0.0,1.0,,0.01005016708416806,congestion_resource,0.0006362534074390004,240,0.0032069091897929,0.9826702227958182,0.005466573904537095,0.9318911786662961,0.0015584794800269325,0.0006758880053674729,0.0011022646457285773,30,local_random,0.1,0.3,240
0.0,1.0,,0.04081077419238824,congestion_resource,0.0006362534074390004,240,0.0032069091897929,0.9826702227958182,0.005466573904537095,0.9318911786662961,0.001747868289617525,0.0007533848180548084,0.0012292888616386123,30,local_random,0.2,0.3,240
0.0,1.0,,0.13031912007401103,congestion_resource,0.0006362534074390004,240,0.0032069091897929,0.9826702227958182,0.005466573904537095,0.9318911786662961,0.00202509963022656,0.0008690092874908764,0.0014272678412044714,30,local_random,0.35,0.3,240
0.0,1.0,,0.2840254166877415,congestion_resource,0.0006362534074390004,240,0.0032069091897929,0.9826702227958182,0.005466573904537095,0.9318911786662961,0.002288996786065479,0.000986628089913861,0.0016197240236813396,30,local_random,0.5,0.3,240
0.0,1.0,,0.6323162199553789,congestion_resource,0.0006362534074390004,240,0.0032069091897929,0.9826702227958182,0.005466573904537095,0.9318911786662961,0.002597864070176683,0.001153692372472024,0.0018563596328032438,30,local_random,0.7,0.3,240
0.0,1.0,,1.718281828459045,congestion_resource,0.0006362534074390004,240,0.0032069091897929,0.9826702227958182,0.005466573904537095,0.9318911786662961,0.003054580326801943,0.0013872709928529606,0.0022005394192929897,30,local_random,1.0,0.3,240
0.0,1.0,,8.487735836358526,congestion_resource,0.0006362534074390004,240,0.0032069091897929,0.9826702227958182,0.005466573904537095,0.9318911786662961,0.003672955914658645,0.0017922348908386886,0.0027172543124078436,30,local_random,1.5,0.3,240
0.0,1.0,,53.598150033144236,congestion_resource,0.0006362534074390004,240,0.0032069091897929,0.9826702227958182,0.005466573904537095,0.9318911786662961,0.004232770838454912,0.0021757371396302987,0.0032119459370319988,30,local_random,2.0,0.3,240
0.008264462809917356,0.9958333333333333,,8102.083927575384,congestion_resource,0.0006362534074390004,240,0.0032069091897929,0.9826702227958182,0.005466573904537095,0.9318911786662961,0.012279729910142048,0.003140740152867804,0.006636709507916378,30,local_random,3.0,0.3,240
0.0,1.0,,0.0,congestion_resource,0.0006362534074390004,240,0.0032069091897929,0.9826702227958182,0.005466573904537095,0.9318911786662961,0.0008918733830347227,0.0003870159123662623,0.0006362534074390004,30,evolutionary_population,0.0,0.75,240
0.0,1.0,,0.01005016708416806,congestion_resource,0.0006362534074390004,240,0.0032069091897929,0.9826702227958182,0.005466573904537095,0.9318911786662961,0.0010089107046875522,0.0004459110495076801,0.0007235593010836529,30,evolutionary_population,0.1,0.75,240
0.0,1.0,,0.04081077419238824,congestion_resource,0.0006362534074390004,240,0.0032069091897929,0.9826702227958182,0.005466573904537095,0.9318911786662961,0.0011308754405628695,0.0004996268747083672,0.0008135003955355389,30,evolutionary_population,0.2,0.75,240
0.0,1.0,,0.13031912007401103,congestion_resource,0.0006362534074390004,240,0.0032069091897929,0.9826702227958182,0.005466573904537095,0.9318911786662961,0.0013167276421405952,0.0005841496917779029,0.000950080451718485,30,evolutionary_population,0.35,0.75,240
