CISR,CTI,candidate_template_contract,environment_id,external_null,final_deployment_value,harmful_promotion_rate,hf_cost,hf_queries,method,rounds,seed,source_status,source_trajectories,trajectory_id
1.3250476969298595,-0.007908823583301278,shared_update_noise_by_environment_seed_round,performative_control,False,0.2183061763531983,0.575,2560.0,80,pivot_voi,40,9103,,,performative_control|seed=9103|method=pivot_voi
0.0,0.004502639715198806,shared_update_noise_by_environment_seed_round,performative_control,False,0.21960534085759673,0.575,10240.0,320,all_hf,40,9103,,,performative_control|seed=9103|method=all_hf
3.260439343184221,-2.568981633832151,shared_update_noise_by_environment_seed_round,performative_control,False,-2.2988512846080402,0.525,0.0,0,proxy_only,40,9104,,,performative_control|seed=9104|method=proxy_only
0.7100583640809203,-0.028007944657208128,shared_update_noise_by_environment_seed_round,performative_control,False,0.19042321245071708,0.55,0.0,0,global_value,40,9104,,,performative_control|seed=9104|method=global_value
6.145589732455638,-2.457878122606635,shared_update_noise_by_environment_seed_round,performative_control,False,-2.153139928690896,0.55,2560.0,80,random_hf,40,9104,,,performative_control|seed=9104|method=random_hf
5.901995543697066,-2.3148805903341,shared_update_noise_by_environment_seed_round,performative_control,False,-2.1035243698158217,0.55,2560.0,80,top_proxy_hf,40,9104,,,performative_control|seed=9104|method=top_proxy_hf
1.2491886604977325,-0.07108091833297353,shared_update_noise_by_environment_seed_round,performative_control,False,0.1580029252147037,0.575,2560.0,80,uncertainty_hf,40,9104,,,performative_control|seed=9104|method=uncertainty_hf
1.654866051288651,-0.12185164715860866,shared_update_noise_by_environment_seed_round,performative_control,False,0.10681031378835525,0.575,2560.0,80,paired_lucb,40,9104,,,performative_control|seed=9104|method=paired_lucb
0.5899596782705636,0.025728863572794747,shared_update_noise_by_environment_seed_round,performative_control,False,0.21469638642376426,0.525,2560.0,80,global_voi,40,9104,,,performative_control|seed=9104|method=global_voi
0.8717205286428091,-0.0328825336420458,shared_update_noise_by_environment_seed_round,performative_control,False,0.19621605945657042,0.575,2560.0,80,pivot_h,40,9104,,,performative_control|seed=9104|method=pivot_h
1.5801068254841717,-0.09801748033542645,shared_update_noise_by_environment_seed_round,performative_control,False,0.18147866816043084,0.6,2560.0,80,pivot_voi,40,9104,,,performative_control|seed=9104|method=pivot_voi
0.0,0.02579278624486503,shared_update_noise_by_environment_seed_round,performative_control,False,0.2191529569915745,0.6,10240.0,320,all_hf,40,9104,,,performative_control|seed=9104|method=all_hf
4.2473916855926666,-2.4890810127947156,shared_update_noise_by_environment_seed_round,performative_control,False,-2.298430878594335,0.55,0.0,0,proxy_only,40,9105,,,performative_control|seed=9105|method=proxy_only
1.3359869865359637,-0.49073937956474,shared_update_noise_by_environment_seed_round,performative_control,False,-0.23011563535749166,0.6,0.0,0,global_value,40,9105,,,performative_control|seed=9105|method=global_value
7.18969476555732,-2.2805380277527596,shared_update_noise_by_environment_seed_round,performative_control,False,-2.002828773881938,0.575,2560.0,80,random_hf,40,9105,,,performative_control|seed=9105|method=random_hf
6.532095870150146,-2.3213179911042543,shared_update_noise_by_environment_seed_round,performative_control,False,-2.1222942729849876,0.55,2560.0,80,top_proxy_hf,40,9105,,,performative_control|seed=9105|method=top_proxy_hf
0.8820473499355214,0.012854735788945332,shared_update_noise_by_environment_seed_round,performative_control,False,0.19778022617874083,0.525,2560.0,80,uncertainty_hf,40,9105,,,performative_control|seed=9105|method=uncertainty_hf
1.9122211757175824,0.008994239821032271,shared_update_noise_by_environment_seed_round,performative_control,False,0.20958503997421357,0.575,2560.0,80,paired_lucb,40,9105,,,performative_control|seed=9105|method=paired_lucb
0.42167060763895114,-0.03835472304299695,shared_update_noise_by_environment_seed_round,performative_control,False,0.21343769262858786,0.5,2560.0,80,global_voi,40,9105,,,performative_control|seed=9105|method=global_voi
0.819221137321537,0.008786851210106472,shared_update_noise_by_environment_seed_round,performative_control,False,0.2103116980419296,0.55,2560.0,80,pivot_h,40,9105,,,performative_control|seed=9105|method=pivot_h
0.8191194357386801,-0.15687925925112495,shared_update_noise_by_environment_seed_round,performative_control,False,0.06789114627377123,0.55,2560.0,80,pivot_voi,40,9105,,,performative_control|seed=9105|method=pivot_voi
0.0,-0.0015800193139779845,shared_update_noise_by_environment_seed_round,performative_control,False,0.21397770474334687,0.6,10240.0,320,all_hf,40,9105,,,performative_control|seed=9105|method=all_hf
4.412679346315102,-2.5083251416634034,shared_update_noise_by_environment_seed_round,performative_control,False,-2.2432713107393623,0.525,0.0,0,proxy_only,40,9106,,,performative_control|seed=9106|method=proxy_only
