delta_proxy,delta_true,response_strength,reversal,update_footprint
0.7897868850612708,0.7897868850612708,0.0,False,0.09999999999999998
1.555573770122546,1.555573770122546,0.0,False,0.20000000000000007
2.297360655183817,2.297360655183817,0.0,False,0.29999999999999993
3.7089344253063654,3.7089344253063654,0.0,False,0.5
0.7765691649072757,0.7765691649072757,0.0,False,0.09999999999999998
1.529138329814553,1.529138329814553,0.0,False,0.20000000000000007
2.257707494721828,2.257707494721828,0.0,False,0.29999999999999993
3.642845824536381,3.642845824536381,0.0,False,0.5
0.7993762319441275,0.7993762319441275,0.0,False,0.09999999999999998
1.5747524638882568,1.5747524638882568,0.0,False,0.20000000000000007
2.3261286958323835,2.3261286958323835,0.0,False,0.29999999999999993
3.756881159720642,3.756881159720642,0.0,False,0.5
0.7989190507058472,0.7989190507058472,0.0,False,0.09999999999999998
1.5738381014116962,1.5738381014116962,0.0,False,0.20000000000000007
2.3247571521175434,2.3247571521175434,0.0,False,0.29999999999999993
3.754595253529242,3.754595253529242,0.0,False,0.5
0.7893973403284482,0.7893973403284482,0.0,False,0.09999999999999998
1.5547946806568964,1.5547946806568964,0.0,False,0.20000000000000007
2.296192020985343,2.296192020985343,0.0,False,0.29999999999999993
3.7069867016422418,3.7069867016422418,0.0,False,0.5
1.555573770122546,1.555573770122546,0.0,False,0.20000000000000007
3.015147540245093,3.015147540245093,0.0,False,0.4
4.378721310367637,4.378721310367637,0.0,False,0.6
6.600852459754907,6.600852459754907,0.0,False,0.9999999999999998
1.529138329814553,1.529138329814553,0.0,False,0.20000000000000007
2.9622766596291044,2.9622766596291044,0.0,False,0.4
4.299414989443656,4.299414989443656,0.0,False,0.6
6.653723340370895,6.653723340370895,0.0,False,0.9999999999999998
1.5747524638882568,1.5747524638882568,0.0,False,0.20000000000000007
3.053504927776511,3.053504927776511,0.0,False,0.4
4.436257391664768,4.436257391664768,0.0,False,0.6
6.562495072223489,6.562495072223489,0.0,False,0.9999999999999998
1.5738381014116962,1.5738381014116962,0.0,False,0.20000000000000007
3.051676202823394,3.051676202823394,0.0,False,0.4
4.433514304235089,4.433514304235089,0.0,False,0.6
6.5643237971766055,6.5643237971766055,0.0,False,0.9999999999999998
1.5547946806568964,1.5547946806568964,0.0,False,0.20000000000000007
3.013589361313791,3.013589361313791,0.0,False,0.4
4.376384041970688,4.376384041970688,0.0,False,0.6
6.602410638686209,6.602410638686209,0.0,False,0.9999999999999998
2.2973606551838177,2.2973606551838177,0.0,False,0.30000000000000004
4.378721310367637,4.378721310367637,0.0,False,0.6
6.244081965551458,6.244081965551458,0.0,False,0.8999999999999998
6.600852459754907,6.600852459754907,0.0,False,1.5
2.2577074947218296,2.2577074947218296,0.0,False,0.30000000000000004
4.299414989443656,4.299414989443656,0.0,False,0.6
6.125122484165484,6.125122484165484,0.0,False,0.8999999999999998
6.653723340370895,6.653723340370895,0.0,False,1.5
2.3261286958323844,2.3261286958323844,0.0,False,0.30000000000000004
4.436257391664768,4.436257391664768,0.0,False,0.6
6.3303860874971525,6.3303860874971525,0.0,False,0.8999999999999998
6.562495072223489,6.562495072223489,0.0,False,1.5
2.324757152117545,2.324757152117545,0.0,False,0.30000000000000004
4.433514304235089,4.433514304235089,0.0,False,0.6
6.326271456352634,6.326271456352634,0.0,False,0.8999999999999998
6.5643237971766055,6.5643237971766055,0.0,False,1.5
2.2961920209853437,2.2961920209853437,0.0,False,0.30000000000000004
4.376384041970688,4.376384041970688,0.0,False,0.6
6.2405760629560305,6.2405760629560305,0.0,False,0.8999999999999998
6.602410638686209,6.602410638686209,0.0,False,1.5
0.7897868850612708,0.05855501684648612,0.3,False,0.09999999999999998
1.555573770122546,-0.06938593702142581,0.3,True,0.20000000000000007
2.297360655183817,-0.3838228616037347,0.3,True,0.29999999999999993
3.7089344253063654,-1.5721846229115422,0.3,True,0.5
0.7765691649072757,0.04533729669248876,0.3,False,0.09999999999999998
1.529138329814553,-0.09582137732941876,0.3,True,0.20000000000000007
2.257707494721828,-0.42347602206572565,0.3,True,0.29999999999999993
3.642845824536381,-1.638273223681527,0.3,True,0.5
0.7993762319441275,0.06814436372934063,0.3,False,0.09999999999999998
1.5747524638882568,-0.05020724325571635,0.3,True,0.20000000000000007
2.3261286958323835,-0.3550548209551705,0.3,True,0.29999999999999993
3.756881159720642,-1.5242378884972674,0.3,True,0.5
0.7989190507058472,0.06768718249106076,0.3,False,0.09999999999999998
1.5738381014116962,-0.0511216057322752,0.3,True,0.20000000000000007
2.3247571521175434,-0.3564263646700092,0.3,True,0.29999999999999993
3.754595253529242,-1.526523794688666,0.3,True,0.5
0.7893973403284482,0.05816547211366041,0.3,False,0.09999999999999998
1.5547946806568964,-0.07016502648707634,0.3,True,0.20000000000000007
2.296192020985343,-0.3849914958022107,0.3,True,0.29999999999999993
3.7069867016422418,-1.5741323465756683,0.3,True,0.5
1.555573770122546,-0.06938593702142581,0.3,True,0.20000000000000007
3.015147540245093,-0.8847557569004394,0.3,True,0.4
4.378721310367637,-2.446109459637042,0.3,True,0.6
6.600852459754907,-7.806768513683014,0.3,True,0.9999999999999998
1.529138329814553,-0.09582137732941876,0.3,True,0.20000000000000007
2.9622766596291044,-0.9376266375164264,0.3,True,0.4
4.299414989443656,-2.5254157805610227,0.3,True,0.6
6.653723340370895,-7.938945715222982,0.3,True,0.9999999999999998
1.5747524638882568,-0.05020724325571635,0.3,True,0.20000000000000007
3.053504927776511,-0.84639836936902,0.3,True,0.4
4.436257391664768,-2.3885733783399123,0.3,True,0.6
6.562495072223489,-7.7108750448544665,0.3,True,0.9999999999999998
1.5738381014116962,-0.0511216057322752,0.3,True,0.20000000000000007
3.051676202823394,-0.8482270943221379,0.3,True,0.4
4.433514304235089,-2.391316465769589,0.3,True,0.6
6.5643237971766055,-7.715446857237261,0.3,True,0.9999999999999998
1.5547946806568964,-0.07016502648707634,0.3,True,0.20000000000000007
3.013589361313791,-0.88631393583174,0.3,True,0.4
4.376384041970688,-2.4484467280339937,0.3,True,0.6
6.602410638686209,-7.810663961011267,0.3,True,0.9999999999999998
2.2973606551838177,-0.38382286160373424,0.3,True,0.30000000000000004
4.378721310367637,-2.446109459637042,0.3,True,0.6
6.244081965551458,-6.186859794099922,0.3,True,0.8999999999999998
6.600852459754907,-12.099179774529915,0.3,True,1.5
2.2577074947218296,-0.42347602206572477,0.3,True,0.30000000000000004
4.299414989443656,-2.5254157805610227,0.3,True,0.6
6.125122484165484,-6.305819275485893,0.3,True,0.8999999999999998
6.653723340370895,-12.046308893913928,0.3,True,1.5
2.3261286958323844,-0.35505482095517005,0.3,True,0.30000000000000004
4.436257391664768,-2.3885733783399123,0.3,True,0.6
6.3303860874971525,-6.100555672154229,0.3,True,0.8999999999999998
6.562495072223489,-12.137537162061335,0.3,True,1.5
2.324757152117545,-0.35642636467000877,0.3,True,0.30000000000000004
4.433514304235089,-2.391316465769589,0.3,True,0.6
6.326271456352634,-6.104670303298745,0.3,True,0.8999999999999998
6.5643237971766055,-12.135708437108217,0.3,True,1.5
2.2961920209853437,-0.3849914958022098,0.3,True,0.30000000000000004
4.376384041970688,-2.4484467280339937,0.3,True,0.6
6.2405760629560305,-6.190365696695348,0.3,True,0.8999999999999998
6.602410638686209,-12.097621595598614,0.3,True,1.5
0.7897868850612708,-0.9164208074398974,0.7,True,0.09999999999999998
1.555573770122546,-2.2359988798800554,0.7,True,0.20000000000000007
2.297360655183817,-3.958734217320472,0.7,True,0.29999999999999993
3.7089344253063654,-8.613676687202085,0.7,True,0.5
0.7765691649072757,-0.9296385275938943,0.7,True,0.09999999999999998
1.529138329814553,-2.2624343201880492,0.7,True,0.20000000000000007
2.257707494721828,-3.998387377782463,0.7,True,0.29999999999999993
3.642845824536381,-8.679765287972069,0.7,True,0.5
0.7993762319441275,-0.9068314605570429,0.7,True,0.09999999999999998
1.5747524638882568,-2.2168201861143464,0.7,True,0.20000000000000007
2.3261286958323835,-3.9299661766719076,0.7,True,0.29999999999999993
3.756881159720642,-8.565729952787812,0.7,True,0.5
0.7989190507058472,-0.9072886417953215,0.7,True,0.09999999999999998
1.5738381014116962,-2.2177345485909044,0.7,True,0.20000000000000007
2.3247571521175434,-3.931337720386746,0.7,True,0.29999999999999993
3.754595253529242,-8.568015858979209,0.7,True,0.5
0.7893973403284482,-0.9168103521727228,0.7,True,0.09999999999999998
1.5547946806568964,-2.2367779693457055,0.7,True,0.20000000000000007
2.296192020985343,-3.959902851518948,0.7,True,0.29999999999999993
3.7069867016422418,-8.61562441086621,0.7,True,0.5
1.555573770122546,-2.2359988798800554,0.7,True,0.20000000000000007
3.015147540245093,-6.084626819761147,0.7,True,0.4
