SIRR,actor_positive_n,actor_positive_rate,cluster_n,delta_actor,delta_strategic,figure_panel,mean_strategic_effect,median_strategic_effect,opponent_mode,opponent_seed,row_n,strategic_effect,strategic_effect_ci_high,strategic_effect_ci_low
,,0.75,,0.0039856604635730986,-0.019886961634701238,,,,best_response,9801,,-0.02387262209827434,,
,,1.0,,0.007046518772937473,-0.015212684746486732,,,,best_response,9802,,-0.022259203519424203,,
,,1.0,,0.0056748987759465234,-0.02100130143117168,,,,best_response,9803,,-0.026676200207118205,,
,,1.0,,0.009313851916211376,-0.013322447503904789,,,,best_response,9804,,-0.022636299420116163,,
,,1.0,,0.008777562993276825,-0.015703434054414534,,,,best_response,9805,,-0.02448099704769136,,
,,0.875,,0.006233743198824051,-0.02145244465018618,,,,best_response,9806,,-0.027686187849010228,,
,,1.0,,0.008677292956567741,-0.012896253973965629,,,,best_response,9807,,-0.02157354693053337,,
,,1.0,,0.0052886311291863025,-0.016459761023520262,,,,best_response,9808,,-0.021748392152706564,,
,,1.0,,0.00584597664266261,-0.017654165457655694,,,,best_response,9809,,-0.0235001421003183,,
,,0.875,,0.0050445732315573776,-0.02115863635705983,,,,best_response,9810,,-0.026203209588617205,,
,,1.0,,0.005207453583687217,-0.017872148845422847,,,,best_response,9811,,-0.023079602429110068,,
,,1.0,,0.009373858161119557,-0.01828265278375871,,,,best_response,9812,,-0.02765651094487827,,
,,1.0,,0.0082230517063595,-0.021665518243499177,,,,best_response,9813,,-0.02988856994985868,,
,,1.0,,0.0069385764978440595,-0.016193816763751645,,,,best_response,9814,,-0.023132393261595705,,
,,0.875,,0.005836531892336728,-0.01754650234762068,,,,best_response,9815,,-0.02338303423995741,,
,,1.0,,0.0072348283534856665,-0.016228236994302675,,,,best_response,9816,,-0.02346306534778834,,
,,0.875,,0.006063711756527784,-0.019450273315326658,,,,best_response,9817,,-0.025513985071854445,,
,,1.0,,0.007781815251761137,-0.017884166407114776,,,,best_response,9818,,-0.025665981658875913,,
,,0.875,,0.008303067651041066,-0.012378553182312138,,,,best_response,9819,,-0.020681620833353204,,
