root,type,adaptation,calibration,cap,method,selected,n_queries,hands_used,gain,isr,gain_registered_draw,isr_registered_draw,stop_reason,queries
98006,equilibrator,8,exact,16384,uniform_fixed,0,2,16384,0.22578299474765012,0.055054557960094785,0.2808375527077449,0.0,budget_exhausted,"[[6, 4096, 0.128173828125], [0, 4096, 0.406982421875]]"
98006,equilibrator,8,exact,16384,uniform_small,0,16,16384,0.23701776445501332,0.043819788252731584,0.2808375527077449,0.0,budget_exhausted,"[[6, 512, 0.115234375], [0, 512, 0.400390625], [7, 512, 0.06640625], [5, 512, 0.083984375], [0, 512, 0.181640625], [2, 512, -0.005859375], [3, 512, 0.220703125], [1, 512, 0.53125], [6, 512, 0.0], [6, 512, 0.197265625], [1, 512, 0.06640625], [1, 512, 0.162109375], [6, 512, 0.015625], [0, 512, 0.482421875], [2, 512, 0.109375], [6, 512, -0.005859375]]"
98006,equilibrator,8,exact,32768,pivot_kg_menu,0,17,32768,0.2808375527077449,0.0,0.2808375527077449,0.0,budget_exhausted,"[[0, 512, 0.400390625], [7, 512, 0.06640625], [1, 512, 0.53125], [0, 512, 0.181640625], [3, 512, 0.220703125], [5, 512, 0.083984375], [4, 512, 0.00390625], [6, 512, 0.115234375], [1, 512, 0.06640625], [0, 512, 0.482421875], [0, 512, 0.611328125], [3, 2048, 0.1123046875], [1, 2048, 0.15673828125], [2, 2048, 0.111328125], [6, 2048, 0.0517578125], [7, 2048, 0.14501953125], [0, 512, 0.40625]]"
98006,equilibrator,8,exact,32768,pivot_kg_menu_stop,0,17,32768,0.2808375527077449,0.0,0.2808375527077449,0.0,budget_exhausted,"[[0, 512, 0.400390625], [7, 512, 0.06640625], [1, 512, 0.53125], [0, 512, 0.181640625], [3, 512, 0.220703125], [5, 512, 0.083984375], [4, 512, 0.00390625], [6, 512, 0.115234375], [1, 512, 0.06640625], [0, 512, 0.482421875], [0, 512, 0.611328125], [3, 2048, 0.1123046875], [1, 2048, 0.15673828125], [2, 2048, 0.111328125], [6, 2048, 0.0517578125], [7, 2048, 0.14501953125], [0, 512, 0.40625]]"
98006,equilibrator,8,exact,32768,pivot_kg_fixed,0,4,32768,0.2808375527077449,0.0,0.2808375527077449,0.0,budget_exhausted,"[[0, 4096, 0.406982421875], [7, 4096, 0.15576171875], [1, 4096, 0.21728515625], [3, 4096, 0.206787109375]]"
98006,equilibrator,8,exact,32768,pivot_kg_menu_unpaired,0,17,32768,0.2808375527077449,0.0,0.2808375527077449,0.0,budget_exhausted,"[[0, 512, 0.720703125], [7, 512, -0.005859375], [3, 512, 0.40625], [1, 512, 0.64453125], [0, 512, 0.607421875], [6, 512, -0.142578125], [1, 512, -0.169921875], [5, 512, 0.0390625], [4, 512, -0.279296875], [3, 2048, 0.107421875], [0, 2048, 0.5263671875], [7, 2048, 0.16650390625], [1, 2048, 0.166015625], [5, 2048, 0.1640625], [6, 512, -0.28515625], [4, 512, 0.45703125], [2, 512, -0.212890625]]"
98006,equilibrator,8,exact,32768,ivr_menu,0,32,32768,0.2808375527077449,0.0,0.2808375527077449,0.0,budget_exhausted,"[[0, 512, 0.400390625], [7, 512, 0.06640625], [6, 512, 0.115234375], [3, 512, 0.220703125], [5, 512, 0.083984375], [1, 512, 0.53125], [4, 512, 0.00390625], [0, 512, 0.181640625], [2, 512, -0.005859375], [6, 512, 0.0], [3, 512, 0.224609375], [7, 512, 0.076171875], [1, 512, 0.06640625], [0, 512, 0.482421875], [4, 512, 0.046875], [5, 512, 0.111328125], [6, 512, 0.197265625], [3, 512, 0.015625], [2, 512, 0.109375], [0, 512, 0.611328125], [1, 512, 0.162109375], [7, 512, 0.373046875], [4, 512, 0.095703125], [0, 512, 0.40625], [6, 512, 0.015625], [3, 512, -0.1875], [1, 512, 0.166015625], [5, 512, -0.07421875], [7, 512, 0.193359375], [2, 512, -0.009765625], [0, 512, 0.609375], [4, 512, 0.1328125]]"
98006,equilibrator,8,exact,32768,ivr_fixed,0,4,32768,0.2808375527077449,0.0,0.2808375527077449,0.0,budget_exhausted,"[[0, 4096, 0.406982421875], [7, 4096, 0.15576171875], [6, 4096, 0.128173828125], [3, 4096, 0.206787109375]]"
98006,equilibrator,8,exact,32768,lucb_fixed,0,4,32768,0.2808375527077449,0.0,0.2808375527077449,0.0,budget_exhausted,"[[0, 4096, 0.406982421875], [7, 4096, 0.15576171875], [1, 4096, 0.21728515625], [3, 4096, 0.206787109375]]"
98006,equilibrator,8,exact,32768,top_proxy_fixed,0,4,32768,0.2808375527077449,0.0,0.2808375527077449,0.0,budget_exhausted,"[[0, 4096, 0.406982421875], [7, 4096, 0.15576171875], [1, 4096, 0.21728515625], [4, 4096, 0.080078125]]"
