actor_positive,delta_actor,delta_direct,delta_strategic,figure_panel,opponent_mode,opponent_seed,strategic_effect
0.75,0.0039856604635730986,0.11135506802045274,-0.019886961634701238,cluster_layers,best_response,9801,-0.02387262209827434
1.0,0.007046518772937473,0.1022938175012672,-0.015212684746486732,cluster_layers,best_response,9802,-0.022259203519424203
1.0,0.0056748987759465234,0.10477319207441625,-0.02100130143117168,cluster_layers,best_response,9803,-0.026676200207118205
1.0,0.009313851916211376,0.0905365439459372,-0.013322447503904789,cluster_layers,best_response,9804,-0.022636299420116163
1.0,0.008777562993276825,0.09752286011396268,-0.015703434054414534,cluster_layers,best_response,9805,-0.02448099704769136
0.875,0.006233743198824051,0.10053575304064293,-0.02145244465018618,cluster_layers,best_response,9806,-0.027686187849010228
1.0,0.008677292956567741,0.09001565576457345,-0.012896253973965629,cluster_layers,best_response,9807,-0.02157354693053337
1.0,0.0052886311291863025,0.09171247451502396,-0.016459761023520262,cluster_layers,best_response,9808,-0.021748392152706564
1.0,0.00584597664266261,0.09221286001487879,-0.017654165457655694,cluster_layers,best_response,9809,-0.0235001421003183
0.875,0.0050445732315573776,0.09374638194095879,-0.02115863635705983,cluster_layers,best_response,9810,-0.026203209588617205
1.0,0.005207453583687217,0.09480156786831555,-0.017872148845422847,cluster_layers,best_response,9811,-0.023079602429110068
1.0,0.009373858161119557,0.10378831127649413,-0.01828265278375871,cluster_layers,best_response,9812,-0.02765651094487827
1.0,0.0082230517063595,0.09908877325008553,-0.021665518243499177,cluster_layers,best_response,9813,-0.02988856994985868
1.0,0.0069385764978440595,0.09209383120695543,-0.016193816763751645,cluster_layers,best_response,9814,-0.023132393261595705
0.875,0.005836531892336728,0.09338134228363237,-0.01754650234762068,cluster_layers,best_response,9815,-0.02338303423995741
1.0,0.0072348283534856665,0.08423433236084676,-0.016228236994302675,cluster_layers,best_response,9816,-0.02346306534778834
0.875,0.006063711756527784,0.09984252092371904,-0.019450273315326658,cluster_layers,best_response,9817,-0.025513985071854445
1.0,0.007781815251761137,0.10391312429819315,-0.017884166407114776,cluster_layers,best_response,9818,-0.025665981658875913
0.875,0.008303067651041066,0.08337385037671696,-0.012378553182312138,cluster_layers,best_response,9819,-0.020681620833353204
1.0,0.008624937924629004,0.10086266679026397,-0.018284550110789288,cluster_layers,best_response,9820,-0.026909488035418292
1.0,0.007090717705694527,0.10381323493161147,-0.013070761052455755,cluster_layers,best_response,9821,-0.020161478758150282
0.875,0.005997547295745562,0.09830006587509725,-0.018532259876515855,cluster_layers,best_response,9822,-0.024529807172261418
0.875,0.0039036345932006618,0.09589746226102858,-0.019860518263228835,cluster_layers,best_response,9823,-0.023764152856429493
1.0,0.005858845445013857,0.07707212377615554,-0.02131626521978135,cluster_layers,best_response,9824,-0.027175110664795207
1.0,0.006991561642391689,0.0887360679506108,-0.014584311079970132,cluster_layers,best_response,9825,-0.021575872722361823
1.0,0.005539659585857806,0.11247017704081548,-0.018889690108330626,cluster_layers,best_response,9826,-0.024429349694188432
1.0,0.009482720760998486,0.09816029969089846,-0.01719795505509034,cluster_layers,best_response,9827,-0.026680675816088833
1.0,0.007240258055884317,0.06858320757497043,-0.01105138722328917,cluster_layers,best_response,9828,-0.01829164527917349
1.0,0.005859439082483726,0.08204675785885217,-0.01841609234717625,cluster_layers,best_response,9829,-0.024275531429659977
1.0,0.006122266968305524,0.09758192032398642,-0.018277225942837615,cluster_layers,best_response,9830,-0.02439949291114314
0.75,0.0039856604635730986,0.11135506802045274,0.003651710082365655,cluster_layers,fixed,9801,-0.0003339503812074436
1.0,0.007046518772937473,0.1022938175012672,0.008285426162655495,cluster_layers,fixed,9802,0.0012389073897180226
1.0,0.0056748987759465234,0.10477319207441625,0.006098208426648138,cluster_layers,fixed,9803,0.0004233096507016143
1.0,0.009313851916211376,0.0905365439459372,0.007767015324431442,cluster_layers,fixed,9804,-0.0015468365917799334
1.0,0.008777562993276825,0.09752286011396268,0.00804621682957038,cluster_layers,fixed,9805,-0.000731346163706445
0.875,0.006233743198824051,0.10053575304064293,0.005790819774982622,cluster_layers,fixed,9806,-0.00044292342384142855
1.0,0.008677292956567741,0.09001565576457345,0.007251991846364145,cluster_layers,fixed,9807,-0.0014253011102035966
1.0,0.0052886311291863025,0.09171247451502396,0.006707670827891848,cluster_layers,fixed,9808,0.0014190396987055452
1.0,0.00584597664266261,0.09221286001487879,0.006425299662543113,cluster_layers,fixed,9809,0.0005793230198805031
0.875,0.0050445732315573776,0.09374638194095879,0.005483555180026668,cluster_layers,fixed,9810,0.0004389819484692907
1.0,0.005207453583687217,0.09480156786831555,0.005390779879922012,cluster_layers,fixed,9811,0.00018332629623479466
1.0,0.009373858161119557,0.10378831127649413,0.007897938454690213,cluster_layers,fixed,9812,-0.0014759197064293447
1.0,0.0082230517063595,0.09908877325008553,0.006672218271173376,cluster_layers,fixed,9813,-0.0015508334351861247
1.0,0.0069385764978440595,0.09209383120695543,0.005762635038415322,cluster_layers,fixed,9814,-0.001175941459428738
0.875,0.005836531892336728,0.09338134228363237,0.005872715051450598,cluster_layers,fixed,9815,3.6183159113870045e-05
1.0,0.0072348283534856665,0.08423433236084676,0.007904091145138827,cluster_layers,fixed,9816,0.00066926279165316
0.875,0.006063711756527784,0.09984252092371904,0.008609284813180625,cluster_layers,fixed,9817,0.002545573056652841
1.0,0.007781815251761137,0.10391312429819315,0.005755357081162923,cluster_layers,fixed,9818,-0.0020264581705982145
0.875,0.008303067651041066,0.08337385037671696,0.010213432035440312,cluster_layers,fixed,9819,0.0019103643843992463
1.0,0.008624937924629004,0.10086266679026397,0.0068778652667399465,cluster_layers,fixed,9820,-0.001747072657889058
1.0,0.007090717705694527,0.10381323493161147,0.008989195606972308,cluster_layers,fixed,9821,0.0018984779012777807
0.875,0.005997547295745562,0.09830006587509725,0.005500965244195695,cluster_layers,fixed,9822,-0.0004965820515498674
0.875,0.0039036345932006618,0.09589746226102858,0.004488633264562645,cluster_layers,fixed,9823,0.0005849986713619831
1.0,0.005858845445013857,0.07707212377615554,0.004403653223995104,cluster_layers,fixed,9824,-0.001455192221018753
1.0,0.006991561642391689,0.0887360679506108,0.0079249131859668,cluster_layers,fixed,9825,0.0009333515435751109
1.0,0.005539659585857806,0.11247017704081548,0.005991317791061802,cluster_layers,fixed,9826,0.00045165820520399677
1.0,0.009482720760998486,0.09816029969089846,0.008709581820191749,cluster_layers,fixed,9827,-0.0007731389408067377
1.0,0.007240258055884317,0.06858320757497043,0.008143718104212938,cluster_layers,fixed,9828,0.0009034600483286206
1.0,0.005859439082483726,0.08204675785885217,0.0045470689332155825,cluster_layers,fixed,9829,-0.0013123701492681432
1.0,0.006122266968305524,0.09758192032398642,0.006935277621269401,cluster_layers,fixed,9830,0.0008130106529638768
0.75,0.0039856604635730986,0.11135506802045274,-0.020443872819255197,cluster_layers,gradient_adaptive,9801,-0.024429533282828295
1.0,0.007046518772937473,0.1022938175012672,-0.015253036304159693,cluster_layers,gradient_adaptive,9802,-0.022299555077097164
1.0,0.0056748987759465234,0.10477319207441625,-0.020462260977085384,cluster_layers,gradient_adaptive,9803,-0.026137159753031908
1.0,0.009313851916211376,0.0905365439459372,-0.014120247636104968,cluster_layers,gradient_adaptive,9804,-0.023434099552316342
1.0,0.008777562993276825,0.09752286011396268,-0.01598834274704922,cluster_layers,gradient_adaptive,9805,-0.02476590574032604
0.875,0.006233743198824051,0.10053575304064293,-0.02116069980971025,cluster_layers,gradient_adaptive,9806,-0.0273944430085343
1.0,0.008677292956567741,0.09001565576457345,-0.013939572556826074,cluster_layers,gradient_adaptive,9807,-0.022616865513393813
1.0,0.0052886311291863025,0.09171247451502396,-0.017015268789835464,cluster_layers,gradient_adaptive,9808,-0.022303899919021763
1.0,0.00584597664266261,0.09221286001487879,-0.017684443631058155,cluster_layers,gradient_adaptive,9809,-0.023530420273720765
0.875,0.0050445732315573776,0.09374638194095879,-0.020630045736637615,cluster_layers,gradient_adaptive,9810,-0.025674618968194993
1.0,0.005207453583687217,0.09480156786831555,-0.01870417009969364,cluster_layers,gradient_adaptive,9811,-0.02391162368338086
1.0,0.009373858161119557,0.10378831127649413,-0.018553888010928145,cluster_layers,gradient_adaptive,9812,-0.027927746172047702
1.0,0.0082230517063595,0.09908877325008553,-0.021342259116447066,cluster_layers,gradient_adaptive,9813,-0.029565310822806567
1.0,0.0069385764978440595,0.09209383120695543,-0.017293203564282777,cluster_layers,gradient_adaptive,9814,-0.024231780062126836
0.875,0.005836531892336728,0.09338134228363237,-0.018100794740713938,cluster_layers,gradient_adaptive,9815,-0.023937326633050666
1.0,0.0072348283534856665,0.08423433236084676,-0.016259508848925325,cluster_layers,gradient_adaptive,9816,-0.023494337202410995
0.875,0.006063711756527784,0.09984252092371904,-0.01887125285257693,cluster_layers,gradient_adaptive,9817,-0.024934964609104715
1.0,0.007781815251761137,0.10391312429819315,-0.018726998976105736,cluster_layers,gradient_adaptive,9818,-0.026508814227866873
0.875,0.008303067651041066,0.08337385037671696,-0.01266475682719513,cluster_layers,gradient_adaptive,9819,-0.020967824478236197
1.0,0.008624937924629004,0.10086266679026397,-0.018047251230593832,cluster_layers,gradient_adaptive,9820,-0.026672189155222837
1.0,0.007090717705694527,0.10381323493161147,-0.014178108611889262,cluster_layers,gradient_adaptive,9821,-0.021268826317583787
0.875,0.005997547295745562,0.09830006587509725,-0.019090593001965153,cluster_layers,gradient_adaptive,9822,-0.025088140297710716
0.875,0.0039036345932006618,0.09589746226102858,-0.01988665836021807,cluster_layers,gradient_adaptive,9823,-0.023790292953418734
1.0,0.005858845445013857,0.07707212377615554,-0.020826637946141875,cluster_layers,gradient_adaptive,9824,-0.02668548339115573
1.0,0.006991561642391689,0.0887360679506108,-0.01540789851066125,cluster_layers,gradient_adaptive,9825,-0.02239946015305294
1.0,0.005539659585857806,0.11247017704081548,-0.019167736194955865,cluster_layers,gradient_adaptive,9826,-0.024707395780813667
1.0,0.009482720760998486,0.09816029969089846,-0.016940849642098993,cluster_layers,gradient_adaptive,9827,-0.02642357040309748
1.0,0.007240258055884317,0.06858320757497043,-0.012062101705952377,cluster_layers,gradient_adaptive,9828,-0.019302359761836693
1.0,0.005859439082483726,0.08204675785885217,-0.018970498891574664,cluster_layers,gradient_adaptive,9829,-0.02482993797405839
1.0,0.006122266968305524,0.09758192032398642,-0.018286648015192343,cluster_layers,gradient_adaptive,9830,-0.024408914983497867
0.75,0.0039856604635730986,0.11135506802045274,-0.0144183873335993,cluster_layers,reactive,9801,-0.0184040477971724
1.0,0.007046518772937473,0.1022938175012672,-0.00921233400278493,cluster_layers,reactive,9802,-0.016258852775722404
1.0,0.0056748987759465234,0.10477319207441625,-0.01347359975915253,cluster_layers,reactive,9803,-0.019148498535099055
1.0,0.009313851916211376,0.0905365439459372,-0.008733143132171427,cluster_layers,reactive,9804,-0.018046995048382804
1.0,0.008777562993276825,0.09752286011396268,-0.009895978073378586,cluster_layers,reactive,9805,-0.01867354106665541
0.875,0.006233743198824051,0.10053575304064293,-0.014147790545161146,cluster_layers,reactive,9806,-0.020381533743985197
1.0,0.008677292956567741,0.09001565576457345,-0.008805550240540373,cluster_layers,reactive,9807,-0.017482843197108116
1.0,0.0052886311291863025,0.09171247451502396,-0.011084562830062825,cluster_layers,reactive,9808,-0.01637319395924913
1.0,0.00584597664266261,0.09221286001487879,-0.011494895302969738,cluster_layers,reactive,9809,-0.017340871945632347
0.875,0.0050445732315573776,0.09374638194095879,-0.013759273890913156,cluster_layers,reactive,9810,-0.018803847122470532
1.0,0.005207453583687217,0.09480156786831555,-0.01276300071698346,cluster_layers,reactive,9811,-0.017970454300670676
1.0,0.009373858161119557,0.10378831127649413,-0.01183979853416834,cluster_layers,reactive,9812,-0.021213656695287898
1.0,0.0082230517063595,0.09908877325008553,-0.014048920286686492,cluster_layers,reactive,9813,-0.02227197199304599
1.0,0.0069385764978440595,0.09209383120695543,-0.011698867455779501,cluster_layers,reactive,9814,-0.018637443953623562
0.875,0.005836531892336728,0.09338134228363237,-0.012105901080073506,cluster_layers,reactive,9815,-0.017942432972410233
1.0,0.0072348283534856665,0.08423433236084676,-0.010056304957987846,cluster_layers,reactive,9816,-0.017291133311473514
0.875,0.006063711756527784,0.09984252092371904,-0.0116366416706948,cluster_layers,reactive,9817,-0.017700353427222582
1.0,0.007781815251761137,0.10391312429819315,-0.012689663259440459,cluster_layers,reactive,9818,-0.020471478511201596
0.875,0.008303067651041066,0.08337385037671696,-0.006868738321785306,cluster_layers,reactive,9819,-0.015171805972826372
1.0,0.008624937924629004,0.10086266679026397,-0.011567910222122833,cluster_layers,reactive,9820,-0.020192848146751836
1.0,0.007090717705694527,0.10381323493161147,-0.008557310446455841,cluster_layers,reactive,9821,-0.015648028152150367
0.875,0.005997547295745562,0.09830006587509725,-0.012938866818291608,cluster_layers,reactive,9822,-0.01893641411403717
0.875,0.0039036345932006618,0.09589746226102858,-0.013628029873202704,cluster_layers,reactive,9823,-0.017531664466403366
1.0,0.005858845445013857,0.07707212377615554,-0.014192111286002293,cluster_layers,reactive,9824,-0.02005095673101615
1.0,0.006991561642391689,0.0887360679506108,-0.009658748528423048,cluster_layers,reactive,9825,-0.016650310170814735
1.0,0.005539659585857806,0.11247017704081548,-0.012786051446922629,cluster_layers,reactive,9826,-0.018325711032780436
1.0,0.009482720760998486,0.09816029969089846,-0.010270471774527301,cluster_layers,reactive,9827,-0.01975319253552579
1.0,0.007240258055884317,0.06858320757497043,-0.007170791869803087,cluster_layers,reactive,9828,-0.014411049925687404
1.0,0.005859439082483726,0.08204675785885217,-0.01309195810515327,cluster_layers,reactive,9829,-0.018951397187636998
1.0,0.006122266968305524,0.09758192032398642,-0.011807095744929755,cluster_layers,reactive,9830,-0.01792936271323528
0.75,0.0039856604635730986,0.11135506802045274,-0.016382421981086956,cluster_layers,rl_evolutionary,9801,-0.020368082444660054
1.0,0.007046518772937473,0.1022938175012672,-0.012542919270398585,cluster_layers,rl_evolutionary,9802,-0.019589438043336058
1.0,0.0056748987759465234,0.10477319207441625,-0.01785896681544254,cluster_layers,rl_evolutionary,9803,-0.023533865591389064
1.0,0.009313851916211376,0.0905365439459372,-0.010525424655050223,cluster_layers,rl_evolutionary,9804,-0.0198392765712616
1.0,0.008777562993276825,0.09752286011396268,-0.012491655443266502,cluster_layers,rl_evolutionary,9805,-0.021269218436543325
0.875,0.006233743198824051,0.10053575304064293,-0.022342555452729968,cluster_layers,rl_evolutionary,9806,-0.02857629865155402
1.0,0.008677292956567741,0.09001565576457345,-0.013462074301757424,cluster_layers,rl_evolutionary,9807,-0.022139367258325163
1.0,0.0052886311291863025,0.09171247451502396,-0.014186367951132076,cluster_layers,rl_evolutionary,9808,-0.01947499908031838
1.0,0.00584597664266261,0.09221286001487879,-0.013653392385812235,cluster_layers,rl_evolutionary,9809,-0.019499369028474847
0.875,0.0050445732315573776,0.09374638194095879,-0.023253325498676005,cluster_layers,rl_evolutionary,9810,-0.02829789873023338
1.0,0.005207453583687217,0.09480156786831555,-0.017433303024155133,cluster_layers,rl_evolutionary,9811,-0.022640756607842354
1.0,0.009373858161119557,0.10378831127649413,-0.020765508968905055,cluster_layers,rl_evolutionary,9812,-0.030139367130024613
1.0,0.0082230517063595,0.09908877325008553,-0.020621457141658837,cluster_layers,rl_evolutionary,9813,-0.028844508848018337
1.0,0.0069385764978440595,0.09209383120695543,-0.01871922300027888,cluster_layers,rl_evolutionary,9814,-0.02565779949812294
0.875,0.005836531892336728,0.09338134228363237,-0.016040000404168375,cluster_layers,rl_evolutionary,9815,-0.021876532296505102
