CISR,CISR_ci_high,CISR_ci_low,CISR_cumulative_mean,CTI,CTI_ci_high,CTI_ci_low,CTI_cumulative_mean,environment_id,frozen_external_null,method,round,seed_n,source_status
0.0,,,,84.34214379697951,,,,mpe2_frozen_external_null,True,proxy_only,,386,HYPOTHESIS_NOT_SUPPORTED
0.0,,,,79.88145759644509,,,,mpe2_frozen_external_null,True,pivot_voi,,386,HYPOTHESIS_NOT_SUPPORTED
0.0,,,,66.11788867497818,,,,mpe2_frozen_external_null,True,proxy_only,,386,HYPOTHESIS_NOT_SUPPORTED
0.0,,,,62.84414032805025,,,,mpe2_frozen_external_null,True,pivot_voi,,386,HYPOTHESIS_NOT_SUPPORTED
,0.005924426542947529,0.003550349652258253,0.004704815220015998,,0.006439345224731603,0.0039368067625420436,0.005230538669292985,performative_control,False,proxy_only,0,30,
,0.06347937181788503,0.0497759619242724,0.056323083957187686,,-0.05203978462012767,-0.06631275191797399,-0.05873618219528444,performative_control,False,proxy_only,1,30,
,0.19914256302366087,0.16455058263049496,0.18194229982175245,,-0.19823109066088906,-0.22974375186192036,-0.21399994807297135,performative_control,False,proxy_only,2,30,
,0.4080197048465528,0.343055010216352,0.37436131786985244,,-0.43638840884931274,-0.4983082478107922,-0.4662112024024694,performative_control,False,proxy_only,3,30,
,0.7434969843631899,0.6137446384308021,0.6761388048500052,,-0.779334729400235,-0.8902657309259656,-0.8343948390071395,performative_control,False,proxy_only,4,30,
,1.2357567966274294,1.051516564877822,1.1435694849845968,,-1.2877993942647301,-1.4691190287318685,-1.3799980303999948,performative_control,False,proxy_only,5,30,
,1.6788852551823341,1.4761451405153843,1.576388471956146,,-1.5077605907155314,-1.7664339858282372,-1.6394796224758301,performative_control,False,proxy_only,6,30,
,2.0831937826105875,1.899906024757413,1.9914042836289745,,-1.6944279440513899,-1.867942444826307,-1.784578655901289,performative_control,False,proxy_only,7,30,
,2.480345921251366,2.2934667493952783,2.3887319908871674,,-1.742390320767745,-1.9203983135137268,-1.8320551102272817,performative_control,False,proxy_only,8,30,
,2.7600830297228383,2.577258081977279,2.66977215054504,,-1.9862153022492737,-2.085983895067781,-2.0381839976203953,performative_control,False,proxy_only,9,30,
,3.048150133218787,2.8130107797609623,2.9295780773483835,,-1.9785280979520055,-2.076825100953104,-2.0253789750006104,performative_control,False,proxy_only,10,30,
,3.199245772861717,2.9608622340236517,3.07938135522894,,-2.1554442199221273,-2.2202155273176234,-2.189042898055837,performative_control,False,proxy_only,11,30,
,3.3549223711796072,3.0938972277588377,3.224724330146422,,-2.099167633162904,-2.187913776872758,-2.142780289343509,performative_control,False,proxy_only,12,30,
,3.4574868708710462,3.187242187180898,3.3222355969049273,,-2.2600239265307804,-2.309004596521974,-2.285721539296129,performative_control,False,proxy_only,13,30,
,3.5737265474393194,3.2816144414065067,3.4270111042481166,,-2.206333168485814,-2.277490799210249,-2.240894143792898,performative_control,False,proxy_only,14,30,
,3.6400569508032525,3.3436015123599065,3.4915410113344354,,-2.3157413443156454,-2.369437969475102,-2.3432810319444752,performative_control,False,proxy_only,15,30,
,3.712371739949843,3.40767270055615,3.559990301719169,,-2.2640756909898276,-2.3225249094604785,-2.2929469157589684,performative_control,False,proxy_only,16,30,
,3.768001880492717,3.4638257627133466,3.615713088272375,,-2.3385902570788213,-2.4032541898941666,-2.3713671767227984,performative_control,False,proxy_only,17,30,
,3.8258753762483653,3.519491137281207,3.672369836411911,,-2.321984651761172,-2.373499476508634,-2.3472276566755346,performative_control,False,proxy_only,18,30,
,3.8760879690785037,3.5665920200923096,3.721238481491148,,-2.3442381276735484,-2.413025248250984,-2.3793313145462838,performative_control,False,proxy_only,19,30,
,3.9204992996824526,3.608579613354625,3.7648542124168523,,-2.363666775632372,-2.418203295929649,-2.3904249827508055,performative_control,False,proxy_only,20,30,
,3.958295986373201,3.647225969186442,3.802919262554769,,-2.3677887165020723,-2.439406178901828,-2.403566539445786,performative_control,False,proxy_only,21,30,
,4.000533589872392,3.6844443782647263,3.8434565389452233,,-2.3920614241251275,-2.4454850073949563,-2.418313655530311,performative_control,False,proxy_only,22,30,
,4.0372528160004135,3.720495013411905,3.8800901202918365,,-2.3889054628705635,-2.4516656353664192,-2.4199684254441256,performative_control,False,proxy_only,23,30,
,4.070605710385014,3.750261453433286,3.911803717041684,,-2.4297229348058633,-2.4770822602536913,-2.4529240647746717,performative_control,False,proxy_only,24,30,
,4.102907421227247,3.780636265931288,3.943157840575449,,-2.419040611712516,-2.4692167119102564,-2.444301222798721,performative_control,False,proxy_only,25,30,
