CISR_ci_high,CISR_ci_low,budget,candidate_count,environment_id,mean_CISR,mean_CTI,mean_hf_cost,median_CISR,method,n_seeds,oracle_noncomparable
0.0,0.0,16,16,performative_control,0.0,0.010034350642848019,16.0,0.0,global_voi,30,False
0.0,0.0,16,4,congestion_resource,0.0,0.06994132373834828,4.0,0.0,global_voi,30,False
0.0,0.0,16,4,performative_control,0.0,0.009746911482859177,4.0,0.0,global_voi,30,False
0.0,0.0,16,8,congestion_resource,0.0,0.07397021626843132,8.0,0.0,global_voi,30,False
0.0,0.0,16,8,performative_control,0.0,0.009885546883269695,8.0,0.0,global_voi,30,False
0.0026278163085739228,0.0009378630633406253,2,16,congestion_resource,0.0017287885525260468,0.07474187003634701,2.0,0.0,global_voi,30,False
0.004305461641406583,0.0023556307947847264,2,16,performative_control,0.0032683951178658958,0.0067659555249821235,2.0,0.002266406111946978,global_voi,30,False
0.002606128011323615,0.0006157460905842364,2,4,congestion_resource,0.001546219330851047,0.06839510440749723,2.0,0.0,global_voi,30,False
0.0015897688030979626,0.0006126134652459286,2,4,performative_control,0.0010505592330460898,0.008696352249813088,2.0,0.0007247837506361154,global_voi,30,False
0.0028853239518142042,0.0008243726426479996,2,8,congestion_resource,0.001774313324547642,0.07219590294388371,2.0,0.0,global_voi,30,False
0.0032062599592599743,0.0015311635842076676,2,8,performative_control,0.0022839498580679647,0.007601597025201731,2.0,0.0014221150856470188,global_voi,30,False
0.0028087623600865108,0.0011545840464510216,4,16,congestion_resource,0.0019259930881667553,0.07454466550070629,4.0,0.0011110026748542001,global_voi,30,False
0.004070280498706695,0.0021581573026281274,4,16,performative_control,0.0030684850661782245,0.006965865576669795,4.0,0.0022198655158194164,global_voi,30,False
0.0,0.0,4,4,congestion_resource,0.0,0.06994132373834828,4.0,0.0,global_voi,30,False
0.0,0.0,4,4,performative_control,0.0,0.009746911482859177,4.0,0.0,global_voi,30,False
0.002945933074537854,0.0009487667259093785,4,8,congestion_resource,0.0018940746038218234,0.07207614166460953,4.0,0.0,global_voi,30,False
0.0031257197610189244,0.0013710401107898305,4,8,performative_control,0.0021655819983685616,0.007719964884901134,4.0,0.001352239855671039,global_voi,30,False
0.0034804800348794684,0.001383619250676768,8,16,congestion_resource,0.002378185495724209,0.07409247309314886,8.0,0.0008958373988231516,global_voi,30,False
0.004268863502427815,0.002026401550653328,8,16,performative_control,0.0030855822111515155,0.006948768431696504,8.0,0.0019658136856456065,global_voi,30,False
0.0,0.0,8,4,congestion_resource,0.0,0.06994132373834828,4.0,0.0,global_voi,30,False
0.0,0.0,8,4,performative_control,0.0,0.009746911482859177,4.0,0.0,global_voi,30,False
0.0,0.0,8,8,congestion_resource,0.0,0.07397021626843132,8.0,0.0,global_voi,30,False
0.0,0.0,8,8,performative_control,0.0,0.009885546883269695,8.0,0.0,global_voi,30,False
0.0033313342074477266,0.0011913512494172323,0,16,congestion_resource,0.0021831214639755608,0.07428753712489751,0.0,0.0,paired_lucb,30,False
0.0042870158611239715,0.002375200457161151,0,16,performative_control,0.003293578114843368,0.006740772528004651,0.0,0.002266406111946978,paired_lucb,30,False
0.002493882242827141,0.0005500322726321407,0,4,congestion_resource,0.001440058730806685,0.06850126500754158,0.0,0.0,paired_lucb,30,False
0.003035522035108222,0.0012135102496551565,0,4,performative_control,0.002032956276147861,0.007713955206711318,0.0,0.0010830520166123375,paired_lucb,30,False
0.002881474256605354,0.0008103371049004031,0,8,congestion_resource,0.001774313324547642,0.07219590294388371,0.0,0.0,paired_lucb,30,False
0.0028710358340546796,0.001585677206688861,0,8,performative_control,0.0021860941000863814,0.007699452783183315,0.0,0.0014221150856470188,paired_lucb,30,False
0.0027884523979730316,0.000886982733848537,1,16,congestion_resource,0.0017871329914062595,0.07468352559746681,1.0,0.0,paired_lucb,30,False
0.0047900655713534615,0.0019129924933647378,1,16,performative_control,0.0031623137626722022,0.006872036880175817,1.0,0.0017822422650910358,paired_lucb,30,False
0.002229018229481733,0.0003653946145971551,1,4,congestion_resource,0.0011823512307601702,0.06875897250758811,1.0,0.0,paired_lucb,30,False
0.0015640577077367327,0.0005563112526870858,1,4,performative_control,0.001003478127750614,0.008743433355108566,1.0,0.0005821945297568298,paired_lucb,30,False
0.0026721610302612372,0.0006574275908605025,1,8,congestion_resource,0.0015847011424709198,0.07238551512596042,1.0,0.0,paired_lucb,30,False
0.003181815667861047,0.0012312161334336572,1,8,performative_control,0.002103835576158295,0.007781711307111401,1.0,0.0010799923539425715,paired_lucb,30,False
0.0,0.0,16,16,congestion_resource,0.0,0.07647065858887306,16.0,0.0,paired_lucb,30,False
0.0,0.0,16,16,performative_control,0.0,0.010034350642848019,16.0,0.0,paired_lucb,30,False
0.0,0.0,16,4,congestion_resource,0.0,0.06994132373834828,4.0,0.0,paired_lucb,30,False
0.0,0.0,16,4,performative_control,0.0,0.009746911482859177,4.0,0.0,paired_lucb,30,False
