CISR,CTI,IDE,IRR,ISC,ISR,action_distribution_distance,actor_candidate_value,actor_incumbent_value,candidate_id,candidate_parameters,candidate_policy_id,candidate_template_id,chi_square_shift,config_hash,delta_actor,delta_direct,delta_proxy,delta_strategic,delta_true,environment_family,environment_id,evsi,evsi_per_cost,expected_regret,experiment_id,features,hf_cost,hf_queried,hf_query_order,incumbent_parameters,incumbent_policy_id,method,operator_family,operator_id,operator_shift,outcome_available_for_offline_audit,p_best,p_positive,policy_distance,posterior_mean,posterior_std,proxy_candidate_value,proxy_incumbent_value,response_strength,round_id,seed,selected,source_commit,strategic_candidate_value,strategic_incumbent_value,trajectory_id,transition_id,true_best
,,,,,,0.021281233484400443,0.20488579888749986,0.21171787810233028,0,"{'bias': 0.0007837007209738417, 'intensity': 0.15871876651559955}",ada8feee5cc5ffe3,b2b24d76fff4ea4dfd6d,0.0,a9777782141501e5f0ee3f0d2b098b57dde85054e6cf3fee0955cfb3c0a7e6e6,-0.006832079214830422,-0.036482276708761474,-0.036482276708761474,,-0.006832079214830422,performative_control,performative_control,,,,E2C,"[-0.036482276708761474, 0.021295658840186697, 0.021281233484400443, 0.35, 0.0, 0.0, 0.0]",32.0,False,,"{'bias': 0.0, 'intensity': 0.18}",d84f9b315ec8ed18,,local_random,local_random:0,0.0,True,,,0.021295658840186697,,,0.31423117105462156,0.35071344776338303,0.35,0,8106,False,c5c9496004effefee02324e399621e6bd8970430,,,performative_control|r=0.35|op=local_random|shift=0.0|seed=8106,7c14f2fbceaffd6c6dc1,False
,,,,,,0.05378374811155752,0.2067594743295065,0.21171787810233028,4,"{'bias': 0.006040258284271401, 'intensity': 0.2337837481115575}",40e532e279c400b3,7bb86ee4e836cd7f5cd3,0.0,a9777782141501e5f0ee3f0d2b098b57dde85054e6cf3fee0955cfb3c0a7e6e6,-0.004958403772823777,0.1063305849817644,0.1063305849817644,,-0.004958403772823777,performative_control,performative_control,,,,E2C,"[0.1063305849817644, 0.054121865092291256, 0.05378374811155752, 0.35, 0.0, 0.0, 4.0]",32.0,False,,"{'bias': 0.0, 'intensity': 0.18}",d84f9b315ec8ed18,,local_random,local_random:0,0.0,True,,,0.054121865092291256,,,0.45704403274514743,0.35071344776338303,0.35,0,8106,False,c5c9496004effefee02324e399621e6bd8970430,,,performative_control|r=0.35|op=local_random|shift=0.0|seed=8106,23ef8524e47d67b18450,False
,,,,,,0.0813979801827547,0.15754381644261106,0.20245339796752962,0,"{'bias': 0.0034331571761744965, 'intensity': 0.0986020198172453}",20f0492694178752,00af21c936651aa09415,0.0,a9777782141501e5f0ee3f0d2b098b57dde85054e6cf3fee0955cfb3c0a7e6e6,-0.04490958152491856,-0.13934022335413201,-0.13934022335413201,,-0.04490958152491856,performative_control,performative_control,,,,E2C,"[-0.13934022335413201, 0.08147034887631478, 0.0813979801827547, 0.35, 0.0, 0.0, 0.0]",32.0,False,,"{'bias': 0.0, 'intensity': 0.18}",d84f9b315ec8ed18,,local_random,local_random:0,0.0,True,,,0.08147034887631478,,,0.20210874427445033,0.34144896762858234,0.35,0,8107,False,c5c9496004effefee02324e399621e6bd8970430,,,performative_control|r=0.35|op=local_random|shift=0.0|seed=8107,6935edd007d58361ae5a,False
,,,,,,0.004661396312735191,0.19861702870139808,0.20245339796752962,4,"{'bias': -0.008685659101034715, 'intensity': 0.18136140142542137}",43dc35fb6eecb085,a2459fae9f8c18e34f77,0.0,a9777782141501e5f0ee3f0d2b098b57dde85054e6cf3fee0955cfb3c0a7e6e6,-0.0038363692661315396,-0.01549690559290462,-0.01549690559290462,,-0.0038363692661315396,performative_control,performative_control,,,,E2C,"[-0.01549690559290462, 0.008791705628632395, 0.004661396312735191, 0.35, 0.0, 0.0, 4.0]",32.0,False,,"{'bias': 0.0, 'intensity': 0.18}",d84f9b315ec8ed18,,local_random,local_random:0,0.0,True,,,0.008791705628632395,,,0.3259520620356777,0.34144896762858234,0.35,0,8107,False,c5c9496004effefee02324e399621e6bd8970430,,,performative_control|r=0.35|op=local_random|shift=0.0|seed=8107,2c963b0cb3d359e4cbe2,False
,,,,,,0.022686533007630877,0.22102054332630416,0.21737187270435418,0,"{'bias': 0.006504040629554036, 'intensity': 0.20268653300763087}",8b55f162c795160a,90b644b532155e1cac34,0.0,a9777782141501e5f0ee3f0d2b098b57dde85054e6cf3fee0955cfb3c0a7e6e6,0.0036486706219499843,0.056464172766070186,0.056464172766070186,,0.0036486706219499843,performative_control,performative_control,,,,E2C,"[0.056464172766070186, 0.023600451784175972, 0.022686533007630877, 0.35, 0.0, 0.0, 0.0]",32.0,False,,"{'bias': 0.0, 'intensity': 0.18}",d84f9b315ec8ed18,,local_random,local_random:0,0.0,True,,,0.023600451784175972,,,0.4128316151314771,0.3563674423654069,0.35,0,8108,False,c5c9496004effefee02324e399621e6bd8970430,,,performative_control|r=0.35|op=local_random|shift=0.0|seed=8108,b376ef0e92a19962f0d2,False
,,,,,,0.027500591848263863,0.2198184003678205,0.21737187270435418,4,"{'bias': -0.007516162341430592, 'intensity': 0.20750059184826386}",d9bdfc054100b6fd,9cd767a5472e558b3b16,0.0,a9777782141501e5f0ee3f0d2b098b57dde85054e6cf3fee0955cfb3c0a7e6e6,0.0024465276634663136,0.030803892807096334,0.030803892807096334,,0.0024465276634663136,performative_control,performative_control,,,,E2C,"[0.030803892807096334, 0.028509213394050992, 0.027500591848263863, 0.35, 0.0, 0.0, 4.0]",32.0,False,,"{'bias': 0.0, 'intensity': 0.18}",d84f9b315ec8ed18,,local_random,local_random:0,0.0,True,,,0.028509213394050992,,,0.38717133517250324,0.3563674423654069,0.35,0,8108,False,c5c9496004effefee02324e399621e6bd8970430,,,performative_control|r=0.35|op=local_random|shift=0.0|seed=8108,e659bbbf069bd998102e,False
,,,,,,0.02009440582761454,0.22334944505017476,0.2192081062814829,0,"{'bias': 0.007917642037263906, 'intensity': 0.20009440582761454}",4834193d7ec9fa7b,dc83cc7bc28c4d4c2b10,0.0,a9777782141501e5f0ee3f0d2b098b57dde85054e6cf3fee0955cfb3c0a7e6e6,0.004141338768691855,0.05612631966640602,0.05612631966640602,,0.004141338768691855,performative_control,performative_control,,,,E2C,"[0.05612631966640602, 0.021598013820606696, 0.02009440582761454, 0.35, 0.0, 0.0, 0.0]",32.0,False,,"{'bias': 0.0, 'intensity': 0.18}",d84f9b315ec8ed18,,local_random,local_random:0,0.0,True,,,0.021598013820606696,,,0.4143299956089417,0.35820367594253566,0.35,0,8109,False,c5c9496004effefee02324e399621e6bd8970430,,,performative_control|r=0.35|op=local_random|shift=0.0|seed=8109,7e6aeb93138a028bb88e,False
,,,,,,0.012593978555127616,0.22178037586840513,0.2192081062814829,4,"{'bias': -0.00039703322238649234, 'intensity': 0.1925939785551276}",d4787f9529cca9d0,550d5d1dbe04079d1d68,0.0,a9777782141501e5f0ee3f0d2b098b57dde85054e6cf3fee0955cfb3c0a7e6e6,0.002572269586922221,0.021816106741089136,0.021816106741089136,,0.002572269586922221,performative_control,performative_control,,,,E2C,"[0.021816106741089136, 0.012600235363940344, 0.012593978555127616, 0.35, 0.0, 0.0, 4.0]",32.0,False,,"{'bias': 0.0, 'intensity': 0.18}",d84f9b315ec8ed18,,local_random,local_random:0,0.0,True,,,0.012600235363940344,,,0.3800197826836248,0.35820367594253566,0.35,0,8109,False,c5c9496004effefee02324e399621e6bd8970430,,,performative_control|r=0.35|op=local_random|shift=0.0|seed=8109,e7c82009baa06d708a73,False
,,,,,,0.021844817755583473,0.21795660777636278,0.21466124358157526,0,"{'bias': 0.004565113991778067, 'intensity': 0.20184481775558347}",87f884ad1e3b710e,16874a4a3e4b681ed8ce,0.0,a9777782141501e5f0ee3f0d2b098b57dde85054e6cf3fee0955cfb3c0a7e6e6,0.0032953641947875145,0.04948915208828342,0.04948915208828342,,0.0032953641947875145,performative_control,performative_control,,,,E2C,"[0.04948915208828342, 0.022316727549813006, 0.021844817755583473, 0.35, 0.0, 0.0, 0.0]",32.0,False,,"{'bias': 0.0, 'intensity': 0.18}",d84f9b315ec8ed18,,local_random,local_random:0,0.0,True,,,0.022316727549813006,,,0.4031459653309115,0.3536568132426281,0.35,0,8110,False,c5c9496004effefee02324e399621e6bd8970430,,,performative_control|r=0.35|op=local_random|shift=0.0|seed=8110,82066ad2eb7ce29d8eff,False
,,,,,,0.07466033188080952,0.16140684401138627,0.21466124358157526,4,"{'bias': -0.0032941014370034185, 'intensity': 0.10533966811919049}",c63fdcf38910dd96,733aee2ea0d7da35972a,0.0,a9777782141501e5f0ee3f0d2b098b57dde85054e6cf3fee0955cfb3c0a7e6e6,-0.05325439957018899,-0.14807915666989524,-0.14807915666989524,,-0.05325439957018899,performative_control,performative_control,,,,E2C,"[-0.14807915666989524, 0.07473296635909676, 0.07466033188080952, 0.35, 0.0, 0.0, 4.0]",32.0,False,,"{'bias': 0.0, 'intensity': 0.18}",d84f9b315ec8ed18,,local_random,local_random:0,0.0,True,,,0.07473296635909676,,,0.20557765657273286,0.3536568132426281,0.35,0,8110,False,c5c9496004effefee02324e399621e6bd8970430,,,performative_control|r=0.35|op=local_random|shift=0.0|seed=8110,78e6197a84f13eaf1e48,False
