cost_multiplier,groups,mean_CISR,posterior_samples,reference_samples,section,selected_query_jaccard,selected_set_jaccard
,24,,128,1024,posterior,,0.47222222222222215
,24,,256,1024,posterior,,0.47222222222222215
,24,,512,1024,posterior,,0.4305555555555555
,24,,1024,1024,posterior,,0.4583333333333333
0.5,24,0.0012476811416551326,,,cost,0.5138888888888888,
0.75,24,0.00096353283524749,,,cost,0.5694444444444444,
1.0,24,0.0014371219102940018,,,cost,0.5972222222222222,
1.25,24,0.0014850725665622871,,,cost,0.638888888888889,
1.5,24,0.002246623036182301,,,cost,0.5138888888888888,
